GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1992203279824620097800000000,1132010500100070002,1132010500,서울특별시 도봉구 쌍문동,1,일반,7-2,535,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,98.77,348.3,0,0,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,0,3,1,1991-04-01,1992-04-17,2018-07-06
2016203288934620059900000000,1132010500100070021,1132010500,서울특별시 도봉구 쌍문동,1,일반,7-21,100204640,2,집합건축물,3,표제부,와이앤캐슬,,0,주건축물,165,98.66,318.12,192.8,59.79,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,14,5,0,2015-08-24,2016-01-26,2018-07-06
2001203301184620092600000000,1132010500100070022,1132010500,서울특별시 도봉구 쌍문동,1,일반,7-22,4163,2,집합건축물,3,표제부,,,0,주건축물,166,98.75,395.27,238.11,59.49,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,13.8,5,0,2001-05-29,2001-12-14,2018-07-06
1983203256844620843000000000,1132010500100080001,1132010500,서울특별시 도봉구 쌍문동,1,일반,8-1,537,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,109.32,225.33,0,0,11,벽돌구조,03000,제1종근린생활시설,03999,기타제1종근생활시설,2,상업용,0,2,1,,1983-04-27,2018-07-06
1983203242324620836800000000,1132010500100080002,1132010500,서울특별시 도봉구 쌍문동,1,일반,8-2,538,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,63.42,93.89,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,1,1,,1983-06-21,2018-07-06
1989203258404620643700000000,1132010500100080004,1132010500,서울특별시 도봉구 쌍문동,1,일반,8-4,539,1,일반건축물,2,일반건축물대방,,,0,주건축물,309,152.52,813.75,181.42,49.36,21,철근콘크리트구조,03000,제1종근린생활시설,03000,제1종근린생활시설,2,상업용,12.8,4,1,1989-01-05,1989-06-03,2018-07-06
1983203244594620696500000000,1132010500100080005,1132010500,서울특별시 도봉구 쌍문동,1,일반,8-5,540,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,69.12,218.28,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,2,1,,1983-12-28,2018-07-06
1983203245664620594900000000,1132010500100080006,1132010500,서울특별시 도봉구 쌍문동,1,일반,8-6,541,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,62.7,188.1,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,2,1,,1983-10-19,2018-07-06
1982203258364620479100000000,1132010500100080008,1132010500,서울특별시 도봉구 쌍문동,1,일반,8-8,542,1,일반건축물,2,일반건축물대방,,,0,주건축물,232,139.06,515.51,161.25,59.93,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,10,3,1,,1982-06-09,2018-07-06
1993203258324620304300000000,1132010500100080010,1132010500,서울특별시 도봉구 쌍문동,1,일반,8-10,543,1,일반건축물,2,일반건축물대방,,,0,주건축물,286.5,143.1,752.55,201.99,49.94,21,철근콘크리트구조,04000,제2종근린생활시설,04102,체력단련장,2,상업용,12.8,5,1,1992-10-28,1993-09-20,2018-07-06
