area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
신사동,698,987,1264,1484,1689,1857,1918,2094,2197,2252,2367,2367
수색동,11,25,40,57,70,84,85,94,94,101,97,97
대조동,70,105,161,202,242,269,306,368,396,462,525,525
갈현동,75,120,190,256,290,350,412,497,573,692,799,799
응암동,82,162,210,297,374,419,477,559,621,724,791,791
녹번동,32,54,73,91,115,133,151,173,194,239,295,295
역촌동,42,64,100,117,160,191,210,259,306,381,436,436
진관동,7,17,23,69,100,125,152,182,211,312,395,395
불광동,45,81,111,163,213,269,308,347,390,466,533,533
구산동,17,23,35,47,51,61,76,95,119,135,153,153
증산동,13,27,37,46,55,80,93,120,146,159,161,161
관훈동,11,13,19,34,58,69,79,100,120,149,176,176
부암동,9,19,26,33,42,48,48,60,68,75,81,81
창신동,37,79,109,135,152,172,201,239,278,323,382,382
명륜4가,16,26,39,53,70,86,104,124,161,200,246,246
계동,4,7,10,16,22,26,38,51,55,68,82,82
삼청동,14,23,33,41,48,55,60,83,102,106,116,116
명륜3가,2,7,12,22,29,45,53,57,67,87,111,111
익선동,1,3,5,5,8,11,17,32,48,83,125,125
종로3가,3,7,15,21,26,32,38,43,46,62,79,79
수송동,15,27,32,32,38,41,50,64,76,96,128,128
명륜2가,20,34,36,45,62,84,103,118,142,177,204,204
관철동,15,52,71,85,110,139,164,208,263,338,426,426
도렴동,6,13,16,20,23,25,30,32,41,43,49,49
숭인동,20,54,76,100,125,155,169,195,209,242,280,280
가회동,2,3,6,8,6,7,9,19,30,34,36,36
관수동,7,17,25,30,40,48,47,56,68,84,111,111
견지동,1,5,10,13,16,17,21,21,27,35,38,38
인사동,7,23,38,46,62,65,79,97,112,125,162,162
통의동,5,10,13,21,28,49,52,60,69,78,93,93
누하동,1,3,5,6,7,10,14,18,27,35,54,54
안국동,3,5,7,13,16,21,26,31,39,48,56,56
재동,3,5,14,16,26,27,35,45,56,60,69,69
평창동,17,29,29,34,41,48,58,68,82,97,114,114
와룡동,4,4,6,8,9,11,14,19,28,27,35,35
낙원동,12,19,34,44,54,65,77,109,128,156,190,190
원서동,2,2,5,5,11,11,13,21,23,25,29,29
명륜1가,1,4,6,11,15,17,21,29,33,41,57,57
신영동,3,5,11,17,21,25,22,22,27,30,33,33
혜화동,9,16,22,25,36,43,54,60,64,75,90,90
묘동,9,16,25,30,33,35,38,47,58,72,84,84
구기동,12,19,24,26,30,39,48,50,59,64,63,63
종로5가,14,32,38,53,59,68,84,100,117,133,162,162
,3,8,10,12,13,14,19,24,25,32,48,48
평동,1,3,3,6,9,12,11,12,17,18,25,25
공평동,6,8,9,13,13,15,14,13,13,14,21,21
당주동,8,19,27,34,48,51,72,86,96,121,162,162
연지동,6,10,14,20,23,28,38,38,50,72,75,75
종로2가,16,26,30,36,35,28,35,45,48,62,84,84
신문로1가,6,10,20,28,35,37,48,57,67,80,93,93
돈의동,7,12,19,24,35,43,49,62,76,85,103,103
내수동,19,32,41,47,50,54,61,73,93,115,137,137
권농동,2,2,3,2,2,3,4,5,6,9,19,19
경운동,1,4,5,5,6,8,8,9,15,20,21,21
소격동,7,9,10,14,19,23,23,31,44,52,57,57
동숭동,21,44,57,73,92,111,135,177,228,261,319,319
서린동,2,6,12,17,21,23,25,29,36,42,64,64
종로6가,7,12,25,29,38,40,49,60,67,79,92,92
인의동,13,22,21,24,31,35,40,49,56,72,82,82
교북동,3,11,15,17,20,21,16,14,15,16,18,18
체부동,3,6,7,12,15,26,35,49,63,75,86,86
