시도,시군구,행정구역명,행정동,법정동
서울특별시,서울특별시,서울특별시,서울특별시,서울특별시
서울특별시,종로구,종로구,종로구,종로구
서울특별시,종로구,청운효자동,청운효자동,청운동
서울특별시,종로구,청운효자동,청운효자동,신교동
서울특별시,종로구,청운효자동,청운효자동,궁정동
서울특별시,종로구,청운효자동,청운효자동,효자동
서울특별시,종로구,청운효자동,청운효자동,창성동
서울특별시,종로구,청운효자동,청운효자동,통인동
서울특별시,종로구,청운효자동,청운효자동,누상동
서울특별시,종로구,청운효자동,청운효자동,누하동
서울특별시,종로구,청운효자동,청운효자동,옥인동
서울특별시,종로구,청운효자동,청운효자동,세종로
서울특별시,종로구,사직동,사직동,통의동
서울특별시,종로구,사직동,사직동,적선동
서울특별시,종로구,사직동,사직동,체부동
서울특별시,종로구,사직동,사직동,필운동
서울특별시,종로구,사직동,사직동,내자동
서울특별시,종로구,사직동,사직동,사직동
서울특별시,종로구,사직동,사직동,도렴동
서울특별시,종로구,사직동,사직동,당주동
서울특별시,종로구,사직동,사직동,내수동
서울특별시,종로구,사직동,사직동,세종로
서울특별시,종로구,사직동,사직동,신문로1가
서울특별시,종로구,사직동,사직동,신문로2가
서울특별시,종로구,삼청동,삼청동,팔판동
서울특별시,종로구,삼청동,삼청동,삼청동
서울특별시,종로구,삼청동,삼청동,안국동
서울특별시,종로구,삼청동,삼청동,소격동
서울특별시,종로구,삼청동,삼청동,화동
서울특별시,종로구,삼청동,삼청동,사간동
서울특별시,종로구,삼청동,삼청동,송현동
서울특별시,종로구,부암동,부암동,부암동
서울특별시,종로구,부암동,부암동,홍지동
서울특별시,종로구,부암동,부암동,신영동
서울특별시,종로구,평창동,평창동,구기동
서울특별시,종로구,평창동,평창동,평창동
서울특별시,종로구,무악동,무악동,무악동
서울특별시,종로구,교남동,교남동,교남동
서울특별시,종로구,교남동,교남동,평동
서울특별시,종로구,교남동,교남동,송월동
서울특별시,종로구,교남동,교남동,홍파동
서울특별시,종로구,교남동,교남동,교북동
서울특별시,종로구,교남동,교남동,행촌동
서울특별시,종로구,가회동,가회동,가회동
서울특별시,종로구,가회동,가회동,재동
서울특별시,종로구,가회동,가회동,계동
서울특별시,종로구,가회동,가회동,원서동
서울특별시,종로구,종로1·2·3·4가동,종로1·2·3·4가동,세종로
서울특별시,종로구,종로1·2·3·4가동,종로1·2·3·4가동,청진동
