,법정동명,법정동코드
0,서울특별시 강남구 개포동,1168010300
1,서울특별시 강남구 논현동,1168010800
2,서울특별시 강남구 대치동,1168010600
3,서울특별시 강남구 도곡동,1168011800
4,서울특별시 강남구 삼성동,1168010500
5,서울특별시 강남구 세곡동,1168011100
6,서울특별시 강남구 수서동,1168011500
7,서울특별시 강남구 신사동,1168010700
8,서울특별시 강남구 압구정동,1168011000
9,서울특별시 강남구 역삼동,1168010100
10,서울특별시 강남구 율현동,1168011300
11,서울특별시 강남구 일원동,1168011400
12,서울특별시 강남구 자곡동,1168011200
13,서울특별시 강남구 청담동,1168010400
14,서울특별시 강동구 강일동,1174011000
15,서울특별시 강동구 고덕동,1174010200
16,서울특별시 강동구 길동,1174010500
17,서울특별시 강동구 둔촌동,1174010600
18,서울특별시 강동구 명일동,1174010100
19,서울특별시 강동구 상일동,1174010300
20,서울특별시 강동구 성내동,1174010800
21,서울특별시 강동구 암사동,1174010700
22,서울특별시 강동구 천호동,1174010900
23,서울특별시 강북구 미아동,1130510100
24,서울특별시 강북구 번동,1130510200
25,서울특별시 강북구 수유동,1130510300
26,서울특별시 강북구 우이동,1130510400
27,서울특별시 강서구 가양동,1150010400
28,서울특별시 강서구 개화동,1150011000
29,서울특별시 강서구 공항동,1150010800
30,서울특별시 강서구 과해동,1150011100
31,서울특별시 강서구 내발산동,1150010600
32,서울특별시 강서구 등촌동,1150010200
33,서울특별시 강서구 마곡동,1150010500
34,서울특별시 강서구 방화동,1150010900
35,서울특별시 강서구 염창동,1150010100
36,서울특별시 강서구 오곡동,1150011200
37,서울특별시 강서구 오쇠동,1150011300
38,서울특별시 강서구 외발산동,1150010700
39,서울특별시 강서구 화곡동,1150010300
40,서울특별시 관악구 남현동,1162010300
41,서울특별시 관악구 봉천동,1162010100
42,서울특별시 관악구 신림동,1162010200
43,서울특별시 광진구 광장동,1121510400
44,서울특별시 광진구 구의동,1121510300
45,서울특별시 광진구 군자동,1121510900
46,서울특별시 광진구 능동,1121510200
47,서울특별시 광진구 자양동,1121510500
48,서울특별시 광진구 중곡동,1121510100
49,서울특별시 광진구 화양동,1121510700
50,서울특별시 구로구 가리봉동,1153010300
51,서울특별시 구로구 개봉동,1153010700
52,서울특별시 구로구 고척동,1153010600
53,서울특별시 구로구 구로동,1153010200
54,서울특별시 구로구 궁동,1153010900
55,서울특별시 구로구 신도림동,1153010100
56,서울특별시 구로구 오류동,1153010800
57,서울특별시 구로구 온수동,1153011000
58,서울특별시 구로구 천왕동,1153011100
59,서울특별시 구로구 항동,1153011200
60,서울특별시 금천구 가산동,1154510100
61,서울특별시 금천구 독산동,1154510200
62,서울특별시 금천구 시흥동,1154510300
63,서울특별시 노원구 공릉동,1135010300
64,서울특별시 노원구 상계동,1135010500
65,서울특별시 노원구 월계동,1135010200
66,서울특별시 노원구 중계동,1135010600
67,서울특별시 노원구 하계동,1135010400
68,서울특별시 도봉구 도봉동,1132010800
69,서울특별시 도봉구 방학동,1132010600
70,서울특별시 도봉구 쌍문동,1132010500
71,서울특별시 도봉구 창동,1132010700
72,서울특별시 동대문구 답십리동,1123010500
73,서울특별시 동대문구 신설동,1123010100
74,서울특별시 동대문구 용두동,1123010200
75,서울특별시 동대문구 이문동,1123011000
