,법정동코드,법정동명,2018,price_bin
0,1111010100,청운동,1090.0,3
1,1111010400,효자동,1500.0,2
2,1111010500,창성동,2068.0,1
3,1111010800,통인동,1577.0,2
4,1111011000,누하동,1222.0,2
5,1111011100,옥인동,1085.0,3
6,1111011300,필운동,1814.0,1
7,1111011400,내자동,850.0,3
8,1111012000,신문로1가,3020.0,1
9,1111012100,신문로2가,1120.0,3
10,1111012500,중학동,10612.0,1
11,1111012800,관훈동,1864.0,1
12,1111013000,와룡동,2263.0,1
13,1111013300,익선동,1725.0,1
14,1111013400,경운동,989.0,3
15,1111013500,관철동,4096.0,1
16,1111013600,인사동,2900.0,1
17,1111013700,낙원동,1227.0,2
18,1111013800,종로2가,15116.0,1
19,1111014000,삼청동,1615.0,2
20,1111014400,사간동,2609.0,1
21,1111014500,송현동,420.0,4
22,1111014600,가회동,3290.0,1
23,1111014700,재동,1459.0,2
24,1111015100,묘동,2852.0,1
25,1111015400,장사동,2373.0,1
26,1111015500,관수동,3668.0,1
27,1111015600,종로3가,6048.0,1
28,1111015800,예지동,1586.0,2
29,1111015900,원남동,1050.0,3
30,1111016000,연지동,2469.0,1
31,1111016100,종로4가,3750.0,1
32,1111016200,효제동,1368.0,2
33,1111016300,종로5가,1892.0,1
34,1111016400,종로6가,1836.0,1
35,1111016500,이화동,925.0,3
36,1111016600,연건동,1188.0,2
37,1111016700,충신동,1200.0,2
38,1111016800,동숭동,2022.0,1
39,1111016900,혜화동,1170.0,2
40,1111017100,명륜2가,3334.0,1
41,1111017300,명륜3가,597.0,4
42,1111017400,창신동,1197.0,2
43,1111017500,숭인동,1195.0,2
44,1111017600,교남동,1849.0,1
45,1111017700,평동,227.0,4
46,1111018100,행촌동,824.0,3
47,1111018200,구기동,610.0,4
48,1111018300,평창동,829.0,3
49,1111018500,홍지동,676.0,4
50,1114010200,다동,4265.0,1
51,1114011200,남창동,2719.0,1
52,1114012100,회현동1가,606.0,4
53,1114012500,충무로2가,5521.0,1
54,1114012700,명동2가,19529.0,1
55,1114013200,충무로4가,1846.0,1
56,1114013400,인현동2가,1481.0,2
57,1114013500,예관동,1536.0,2
58,1114013700,필동1가,1181.0,2
59,1114013800,필동2가,1299.0,2
60,1114013900,필동3가,1282.0,2
61,1114014200,예장동,959.0,3
62,1114014400,장충동2가,1405.0,2
63,1114014500,광희동1가,2024.0,1
64,1114014600,광희동2가,7653.0,1
65,1114014700,쌍림동,1502.0,2
66,1114015100,을지로5가,987.0,3
67,1114015200,주교동,464.0,4
68,1114015300,방산동,182.0,4
69,1114015400,오장동,923.0,3
70,1114015500,을지로3가,1962.0,1
71,1114015600,입정동,1906.0,1
72,1114015700,산림동,1960.0,1
73,1114016100,저동2가,2812.0,1
74,1114016200,신당동,1345.0,2
75,1114016500,황학동,863.0,3
76,1114016600,서소문동,12509.0,1
77,1114016700,정동,2149.0,1
78,1117010100,후암동,1389.0,2
79,1117010200,용산동2가,1878.0,1
80,1117010400,갈월동,1721.0,1
81,1117010500,남영동,1582.0,2
82,1117010700,동자동,1127.0,3
83,1117010900,청파동1가,1110.0,3
84,1117011000,청파동2가,1394.0,2
85,1117011100,청파동3가,1268.0,2
86,1117011200,원효로1가,1360.0,2
87,1117011300,원효로2가,1292.0,2
88,1117011600,청암동,511.0,4
89,1117012100,용문동,1351.0,2
90,1117012200,문배동,2120.0,1
91,1117012300,신계동,1428.0,2
92,1117012400,한강로1가,1773.0,1
93,1117012500,한강로2가,3345.0,1
94,1117012700,용산동5가,3329.0,1
95,1117012800,한강로3가,2216.0,1
96,1117012900,이촌동,877.0,3
97,1117013000,이태원동,1853.0,1
98,1117013100,한남동,1670.0,2
