법정동코드,법정동명,2018,2018_bin
1168010300,서울특별시 강남구 개포동,12569340.0,2.0
1168010800,서울특별시 강남구 논현동,19686620.0,1.0
1168010600,서울특별시 강남구 대치동,23403270.0,1.0
1168011800,서울특별시 강남구 도곡동,16619180.0,2.0
1168010500,서울특별시 강남구 삼성동,26998410.0,1.0
1168011100,서울특별시 강남구 세곡동,,
1168011500,서울특별시 강남구 수서동,21503760.0,1.0
1168010700,서울특별시 강남구 신사동,25479930.0,1.0
1168011000,서울특별시 강남구 압구정동,35305340.0,1.0
1168010100,서울특별시 강남구 역삼동,23369690.0,1.0
1168011300,서울특별시 강남구 율현동,,
1168011400,서울특별시 강남구 일원동,,
1168011200,서울특별시 강남구 자곡동,,
1168010400,서울특별시 강남구 청담동,27992860.0,1.0
1174011000,서울특별시 강동구 강일동,4545454.0,4.0
1174010200,서울특별시 강동구 고덕동,,
1174010500,서울특별시 강동구 길동,12502870.0,2.0
1174010600,서울특별시 강동구 둔촌동,10869560.0,3.0
1174010100,서울특별시 강동구 명일동,10964910.0,3.0
1174010300,서울특별시 강동구 상일동,,
1174010800,서울특별시 강동구 성내동,10471200.0,3.0
1174010700,서울특별시 강동구 암사동,7196318.0,4.0
1174010900,서울특별시 강동구 천호동,9290540.0,3.0
1130510100,서울특별시 강북구 미아동,8305230.0,3.0
1130510200,서울특별시 강북구 번동,9415893.0,3.0
1130510300,서울특별시 강북구 수유동,7409988.0,4.0
1130510400,서울특별시 강북구 우이동,8709677.0,3.0
1150010400,서울특별시 강서구 가양동,10059370.0,3.0
1150011000,서울특별시 강서구 개화동,,
1150010800,서울특별시 강서구 공항동,6965065.0,4.0
1150011100,서울특별시 강서구 과해동,,
1150010600,서울특별시 강서구 내발산동,6814310.0,4.0
1150010200,서울특별시 강서구 등촌동,13175200.0,2.0
1150010500,서울특별시 강서구 마곡동,18210760.0,1.0
1150010900,서울특별시 강서구 방화동,8920589.0,3.0
1150010100,서울특별시 강서구 염창동,7750472.0,4.0
1150011200,서울특별시 강서구 오곡동,,
1150011300,서울특별시 강서구 오쇠동,,
1150010700,서울특별시 강서구 외발산동,,
1150010300,서울특별시 강서구 화곡동,8225108.0,4.0
1162010300,서울특별시 관악구 남현동,,
1162010100,서울특별시 관악구 봉천동,10724420.0,3.0
1162010200,서울특별시 관악구 신림동,11142720.0,3.0
1121510400,서울특별시 광진구 광장동,9479167.0,3.0
1121510300,서울특별시 광진구 구의동,10492330.0,3.0
1121510900,서울특별시 광진구 군자동,10395710.0,3.0
1121510200,서울특별시 광진구 능동,13350870.0,2.0
1121510500,서울특별시 광진구 자양동,12380620.0,2.0
1121510100,서울특별시 광진구 중곡동,7708679.0,4.0
1121510700,서울특별시 광진구 화양동,16333480.0,2.0
1153010300,서울특별시 구로구 가리봉동,3883713.0,4.0
1153010700,서울특별시 구로구 개봉동,5870033.0,4.0
1153010600,서울특별시 구로구 고척동,4650226.0,4.0
1153010200,서울특별시 구로구 구로동,7682128.0,4.0
1153010900,서울특별시 구로구 궁동,4518072.0,4.0
1153010100,서울특별시 구로구 신도림동,5384616.0,4.0
1153010800,서울특별시 구로구 오류동,5582000.0,4.0
1153011000,서울특별시 구로구 온수동,4931642.0,4.0
1153011100,서울특별시 구로구 천왕동,5615154.0,4.0
1153011200,서울특별시 구로구 항동,6864675.0,4.0
1154510100,서울특별시 금천구 가산동,9430610.0,3.0
1154510200,서울특별시 금천구 독산동,7245981.0,4.0
1154510300,서울특별시 금천구 시흥동,7525586.0,4.0
1135010300,서울특별시 노원구 공릉동,6996610.0,4.0
1135010500,서울특별시 노원구 상계동,6752942.0,4.0
1135010200,서울특별시 노원구 월계동,6717391.0,4.0
1135010600,서울특별시 노원구 중계동,16838050.0,2.0
1135010400,서울특별시 노원구 하계동,4473684.0,4.0
1132010800,서울특별시 도봉구 도봉동,5826558.0,4.0
1132010600,서울특별시 도봉구 방학동,5904455.0,4.0
1132010500,서울특별시 도봉구 쌍문동,6828650.0,4.0
1132010700,서울특별시 도봉구 창동,5015762.0,4.0
1123010500,서울특별시 동대문구 답십리동,7613033.0,4.0
1123010100,서울특별시 동대문구 신설동,14414410.0,2.0
1123010200,서울특별시 동대문구 용두동,8330178.0,3.0
1123011000,서울특별시 동대문구 이문동,10000000.0,3.0
1123010600,서울특별시 동대문구 장안동,8683730.0,3.0
1123010400,서울특별시 동대문구 전농동,6006226.0,4.0
1123010300,서울특별시 동대문구 제기동,7589928.0,4.0
1123010700,서울특별시 동대문구 청량리동,6910994.0,4.0
1123010800,서울특별시 동대문구 회기동,6543380.0,4.0
1123010900,서울특별시 동대문구 휘경동,8502902.0,3.0
1159010100,서울특별시 동작구 노량진동,12297550.0,2.0
1159010800,서울특별시 동작구 대방동,9071950.0,3.0
1159010600,서울특별시 동작구 동작동,6262838.0,4.0
1159010400,서울특별시 동작구 본동,17209300.0,2.0
1159010700,서울특별시 동작구 사당동,12065640.0,2.0
1159010300,서울특별시 동작구 상도1동,15980230.0,2.0
1159010200,서울특별시 동작구 상도동,8278867.0,3.0
1159010900,서울특별시 동작구 신대방동,9088149.0,3.0
1159010500,서울특별시 동작구 흑석동,14413190.0,2.0
1144010200,서울특별시 마포구 공덕동,14727340.0,2.0
1144011300,서울특별시 마포구 구수동,14825930.0,2.0
1144011000,서울특별시 마포구 노고산동,21384140.0,1.0
1144011800,서울특별시 마포구 당인동,13953490.0,2.0
1144010800,서울특별시 마포구 대흥동,19417480.0,1.0
1144010400,서울특별시 마포구 도화동,7332780.0,4.0
1144012100,서울특별시 마포구 동교동,19755980.0,1.0
1144010700,서울특별시 마포구 마포동,,
1144012300,서울특별시 마포구 망원동,10231770.0,3.0
1144011500,서울특별시 마포구 상수동,21040530.0,1.0
1144012700,서울특별시 마포구 상암동,16007770.0,2.0
1144012000,서울특별시 마포구 서교동,17551620.0,1.0
1144012500,서울특별시 마포구 성산동,7811261.0,4.0
1144010300,서울특별시 마포구 신공덕동,23841460.0,1.0
1144011100,서울특별시 마포구 신수동,7558140.0,4.0
1144011700,서울특별시 마포구 신정동,,
1144010100,서울특별시 마포구 아현동,11198210.0,3.0
1144012400,서울특별시 마포구 연남동,18147260.0,1.0
1144010900,서울특별시 마포구 염리동,16157880.0,2.0
1144010500,서울특별시 마포구 용강동,12045720.0,2.0
1144012600,서울특별시 마포구 중동,,
