법정동코드,법정동명,2012_bin,2013_bin,2014_bin,2015_bin,2016_bin,2017_bin,2018_bin
1168010300,서울특별시 강남구 개포동,2.0,2.0,3.0,2.0,2.0,2.0,2.0
1168010800,서울특별시 강남구 논현동,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1168010600,서울특별시 강남구 대치동,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1168011800,서울특별시 강남구 도곡동,2.0,2.0,2.0,2.0,1.0,1.0,2.0
1168010500,서울특별시 강남구 삼성동,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1168011100,서울특별시 강남구 세곡동,,,,,,2.0,
1168011500,서울특별시 강남구 수서동,4.0,,1.0,2.0,,,1.0
1168010700,서울특별시 강남구 신사동,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1168011000,서울특별시 강남구 압구정동,,1.0,1.0,,,,1.0
1168010100,서울특별시 강남구 역삼동,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1168011300,서울특별시 강남구 율현동,,,,,,,
1168011400,서울특별시 강남구 일원동,4.0,4.0,4.0,4.0,4.0,2.0,
1168011200,서울특별시 강남구 자곡동,,,,,,,
1168010400,서울특별시 강남구 청담동,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1174011000,서울특별시 강동구 강일동,,,,,4.0,,4.0
1174010200,서울특별시 강동구 고덕동,4.0,4.0,4.0,4.0,3.0,3.0,
1174010500,서울특별시 강동구 길동,3.0,3.0,2.0,3.0,2.0,3.0,2.0
1174010600,서울특별시 강동구 둔촌동,,4.0,4.0,4.0,3.0,4.0,3.0
1174010100,서울특별시 강동구 명일동,3.0,2.0,3.0,3.0,3.0,2.0,3.0
1174010300,서울특별시 강동구 상일동,4.0,3.0,1.0,2.0,3.0,3.0,
1174010800,서울특별시 강동구 성내동,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1174010700,서울특별시 강동구 암사동,4.0,3.0,3.0,3.0,3.0,4.0,4.0
1174010900,서울특별시 강동구 천호동,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1130510100,서울특별시 강북구 미아동,4.0,4.0,4.0,3.0,4.0,4.0,3.0
1130510200,서울특별시 강북구 번동,3.0,4.0,4.0,4.0,4.0,4.0,3.0
1130510300,서울특별시 강북구 수유동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1130510400,서울특별시 강북구 우이동,4.0,4.0,4.0,4.0,4.0,4.0,3.0
1150010400,서울특별시 강서구 가양동,4.0,2.0,3.0,2.0,3.0,3.0,3.0
1150011000,서울특별시 강서구 개화동,,,,4.0,4.0,,
1150010800,서울특별시 강서구 공항동,,4.0,3.0,4.0,3.0,4.0,4.0
1150011100,서울특별시 강서구 과해동,,,,,,,
1150010600,서울특별시 강서구 내발산동,3.0,3.0,3.0,3.0,4.0,3.0,4.0
1150010200,서울특별시 강서구 등촌동,2.0,3.0,3.0,3.0,3.0,3.0,2.0
1150010500,서울특별시 강서구 마곡동,,,,,,,1.0
1150010900,서울특별시 강서구 방화동,3.0,4.0,4.0,4.0,4.0,4.0,3.0
1150010100,서울특별시 강서구 염창동,3.0,3.0,4.0,3.0,3.0,3.0,4.0
1150011200,서울특별시 강서구 오곡동,,,,,,,
1150011300,서울특별시 강서구 오쇠동,,,,,,,
1150010700,서울특별시 강서구 외발산동,,,,,4.0,2.0,
1150010300,서울특별시 강서구 화곡동,3.0,4.0,4.0,3.0,4.0,4.0,4.0
1162010300,서울특별시 관악구 남현동,3.0,1.0,3.0,2.0,2.0,2.0,
1162010100,서울특별시 관악구 봉천동,3.0,3.0,3.0,3.0,2.0,2.0,3.0
1162010200,서울특별시 관악구 신림동,3.0,3.0,4.0,3.0,3.0,3.0,3.0
1121510400,서울특별시 광진구 광장동,4.0,4.0,3.0,3.0,3.0,3.0,3.0
1121510300,서울특별시 광진구 구의동,2.0,3.0,3.0,3.0,3.0,3.0,3.0
1121510900,서울특별시 광진구 군자동,3.0,3.0,3.0,3.0,3.0,2.0,3.0
1121510200,서울특별시 광진구 능동,2.0,2.0,,4.0,3.0,1.0,2.0
1121510500,서울특별시 광진구 자양동,3.0,3.0,3.0,3.0,3.0,2.0,2.0
1121510100,서울특별시 광진구 중곡동,4.0,4.0,3.0,3.0,4.0,4.0,4.0
1121510700,서울특별시 광진구 화양동,2.0,2.0,1.0,2.0,2.0,2.0,2.0
1153010300,서울특별시 구로구 가리봉동,,4.0,3.0,4.0,3.0,4.0,4.0
1153010700,서울특별시 구로구 개봉동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1153010600,서울특별시 구로구 고척동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1153010200,서울특별시 구로구 구로동,3.0,3.0,4.0,4.0,4.0,4.0,4.0
1153010900,서울특별시 구로구 궁동,,4.0,4.0,4.0,4.0,,4.0
1153010100,서울특별시 구로구 신도림동,4.0,4.0,1.0,4.0,4.0,4.0,4.0
1153010800,서울특별시 구로구 오류동,2.0,3.0,4.0,4.0,2.0,3.0,4.0
1153011000,서울특별시 구로구 온수동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1153011100,서울특별시 구로구 천왕동,,,,,4.0,,4.0
1153011200,서울특별시 구로구 항동,4.0,,,,,4.0,4.0
1154510100,서울특별시 금천구 가산동,2.0,2.0,3.0,3.0,3.0,3.0,3.0
1154510200,서울특별시 금천구 독산동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1154510300,서울특별시 금천구 시흥동,4.0,4.0,4.0,3.0,4.0,4.0,4.0
1135010300,서울특별시 노원구 공릉동,4.0,3.0,3.0,3.0,4.0,4.0,4.0
1135010500,서울특별시 노원구 상계동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1135010200,서울특별시 노원구 월계동,3.0,4.0,3.0,4.0,4.0,4.0,4.0
1135010600,서울특별시 노원구 중계동,4.0,1.0,4.0,4.0,4.0,4.0,2.0
1135010400,서울특별시 노원구 하계동,4.0,4.0,3.0,4.0,3.0,3.0,4.0
1132010800,서울특별시 도봉구 도봉동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1132010600,서울특별시 도봉구 방학동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1132010500,서울특별시 도봉구 쌍문동,3.0,4.0,4.0,4.0,4.0,4.0,4.0
1132010700,서울특별시 도봉구 창동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1123010500,서울특별시 동대문구 답십리동,3.0,3.0,4.0,4.0,4.0,2.0,4.0
1123010100,서울특별시 동대문구 신설동,,1.0,3.0,3.0,3.0,3.0,2.0
1123010200,서울특별시 동대문구 용두동,4.0,4.0,4.0,3.0,2.0,3.0,3.0
1123011000,서울특별시 동대문구 이문동,4.0,2.0,2.0,4.0,4.0,3.0,3.0
1123010600,서울특별시 동대문구 장안동,4.0,4.0,3.0,4.0,3.0,4.0,3.0
1123010400,서울특별시 동대문구 전농동,4.0,3.0,4.0,4.0,4.0,4.0,4.0
1123010300,서울특별시 동대문구 제기동,3.0,4.0,4.0,3.0,4.0,4.0,4.0
