,법정동코드,법정동명,2012~2013_bin,2013~2014_bin,2014~2015_bin,2015~2016_bin,2016~2017_bin,2017~2018_bin
0,1168010300,서울특별시 강남구 개포동,3.0,4.0,1.0,2.0,3.0,2.0
1,1168010800,서울특별시 강남구 논현동,4.0,3.0,2.0,3.0,2.0,3.0
2,1168010600,서울특별시 강남구 대치동,4.0,1.0,3.0,2.0,2.0,3.0
3,1168011800,서울특별시 강남구 도곡동,2.0,2.0,2.0,2.0,2.0,3.0
4,1168010500,서울특별시 강남구 삼성동,3.0,2.0,2.0,3.0,1.0,3.0
5,1168011100,서울특별시 강남구 세곡동,,,,,,
6,1168011500,서울특별시 강남구 수서동,,,3.0,,,
7,1168010700,서울특별시 강남구 신사동,3.0,2.0,3.0,3.0,3.0,3.0
8,1168011000,서울특별시 강남구 압구정동,,1.0,,,,
9,1168010100,서울특별시 강남구 역삼동,2.0,3.0,2.0,2.0,3.0,2.0
10,1168011300,서울특별시 강남구 율현동,,,,,,
11,1168011400,서울특별시 강남구 일원동,1.0,3.0,3.0,4.0,1.0,
12,1168011200,서울특별시 강남구 자곡동,,,,,,
13,1168010400,서울특별시 강남구 청담동,4.0,1.0,3.0,2.0,3.0,3.0
14,1174011000,서울특별시 강동구 강일동,,,,,,
15,1174010200,서울특별시 강동구 고덕동,2.0,2.0,4.0,1.0,4.0,
16,1174010500,서울특별시 강동구 길동,3.0,2.0,4.0,2.0,3.0,2.0
17,1174010600,서울특별시 강동구 둔촌동,,2.0,4.0,1.0,3.0,1.0
18,1174010100,서울특별시 강동구 명일동,1.0,4.0,2.0,2.0,1.0,4.0
19,1174010300,서울특별시 강동구 상일동,1.0,1.0,4.0,3.0,4.0,
20,1174010800,서울특별시 강동구 성내동,3.0,2.0,3.0,2.0,3.0,2.0
21,1174010700,서울특별시 강동구 암사동,1.0,3.0,3.0,2.0,4.0,3.0
22,1174010900,서울특별시 강동구 천호동,2.0,4.0,2.0,2.0,2.0,3.0
23,1130510100,서울특별시 강북구 미아동,3.0,2.0,2.0,3.0,3.0,2.0
24,1130510200,서울특별시 강북구 번동,4.0,3.0,3.0,2.0,4.0,1.0
25,1130510300,서울특별시 강북구 수유동,2.0,3.0,3.0,2.0,3.0,3.0
26,1130510400,서울특별시 강북구 우이동,4.0,1.0,2.0,4.0,1.0,2.0
