법정동코드,법정동명,2012,2013,2014,2015,2016,2017,2018
1168010300,서울특별시 강남구 개포동,9302014.0,8514523.0,7023023.0,9594692.0,11393230.0,11003020.0,12569340.0
1168010800,서울특별시 강남구 논현동,19782840.0,13613010.0,13813310.0,16146880.0,16461480.0,18294950.0,19686620.0
1168010600,서울특별시 강남구 대치동,17408480.0,12412720.0,17120620.0,16783510.0,18953840.0,22853580.0,23403270.0
1168011800,서울특별시 강남구 도곡동,9614812.0,10178120.0,11672860.0,12636740.0,14716570.0,17019420.0,16619180.0
1168010500,서울특별시 강남구 삼성동,17248460.0,14325310.0,16055990.0,19186850.0,17913590.0,27792000.0,26998410.0
1168011100,서울특별시 강남구 세곡동,,,,,,11399510.0,
1168011500,서울특별시 강남구 수서동,4881154.0,,12264150.0,12905860.0,,,21503760.0
1168010700,서울특별시 강남구 신사동,24181990.0,19343700.0,20000000.0,20497800.0,21712910.0,23225120.0,25479930.0
1168011000,서울특별시 강남구 압구정동,,38063872.0,48263392.0,,,,35305340.0
1168010100,서울특별시 강남구 역삼동,13040380.0,15429580.0,14626820.0,17109300.0,18752420.0,18797260.0,23369690.0
1168011300,서울특별시 강남구 율현동,,,,,,,
1168011400,서울특별시 강남구 일원동,4038914.0,5563798.0,5670068.0,5931784.0,4120879.0,12174160.0,
1168011200,서울특별시 강남구 자곡동,,,,,,,
1168010400,서울특별시 강남구 청담동,25474130.0,18203410.0,23043310.0,21836600.0,25612050.0,25770460.0,27992860.0
1174011000,서울특별시 강동구 강일동,,,,,6287879.0,,4545454.0
1174010200,서울특별시 강동구 고덕동,4923366.0,5394191.0,5863540.0,4869523.0,8623025.0,7870251.0,
1174010500,서울특별시 강동구 길동,7130836.0,6997542.0,8704454.0,8004308.0,9447448.0,9036145.0,12502870.0
1174010600,서울특별시 강동구 둔촌동,,5784314.0,6211968.0,5242669.0,7221034.0,7776245.0,10869560.0
1174010100,서울특별시 강동구 명일동,7239819.0,9941182.0,7272728.0,7764706.0,9118826.0,12696880.0,10964910.0
1174010300,서울특별시 강동구 상일동,4969697.0,6275487.0,13465690.0,9118984.0,8789625.0,8109280.0,
1174010800,서울특별시 강동구 성내동,7575758.0,6752680.0,8010484.0,7718524.0,8441291.0,8654207.0,10471200.0
1174010700,서울특별시 강동구 암사동,5423144.0,6875754.0,6759160.0,6804259.0,8731082.0,6862745.0,7196318.0
1174010900,서울특별시 강동구 천호동,7896960.0,7901259.0,6672030.0,7402080.0,8023648.0,9712838.0,9290540.0
1130510100,서울특별시 강북구 미아동,5758947.0,5558488.0,5914634.0,6347512.0,6283425.0,6892656.0,8305230.0
1130510200,서울특별시 강북구 번동,7264349.0,5694880.0,5132957.0,5194304.0,6340677.0,4960000.0,9415893.0
1130510300,서울특별시 강북구 수유동,5213803.0,5763826.0,5504006.0,5354592.0,6294706.0,6585082.0,7409988.0
1130510400,서울특별시 강북구 우이동,4709045.0,3021583.0,5288462.0,5676856.0,4527897.0,7416834.0,8709677.0
1150010400,서울특별시 강서구 가양동,5978922.0,8650093.0,7001232.0,8888889.0,7458432.0,8270676.0,10059370.0
1150011000,서울특별시 강서구 개화동,,,,2830189.0,4758842.0,,
1150010800,서울특별시 강서구 공항동,,4328859.0,6854932.0,5889570.0,7233274.0,6104651.0,6965065.0
1150011100,서울특별시 강서구 과해동,,,,,,,
1150010600,서울특별시 강서구 내발산동,6824836.0,6649456.0,6904534.0,7342639.0,5170049.0,8216550.0,6814310.0
1150010200,서울특별시 강서구 등촌동,9334926.0,7263192.0,6421166.0,7685640.0,8007644.0,8744672.0,13175200.0
1150010500,서울특별시 강서구 마곡동,,,,,,,18210760.0
1150010900,서울특별시 강서구 방화동,6306818.0,4176245.0,6097561.0,5114942.0,5521472.0,6310680.0,8920589.0
1150010100,서울특별시 강서구 염창동,7425049.0,6684950.0,5882353.0,7883261.0,7318560.0,10243900.0,7750472.0
1150011200,서울특별시 강서구 오곡동,,,,,,,
1150011300,서울특별시 강서구 오쇠동,,,,,,,
1150010700,서울특별시 강서구 외발산동,,,,,2770781.0,11729320.0,
1150010300,서울특별시 강서구 화곡동,6229843.0,5938627.0,5840642.0,6493912.0,6285879.0,7564576.0,8225108.0
1162010300,서울특별시 관악구 남현동,6588651.0,33199800.0,8183260.0,9463722.0,9516606.0,14099260.0,
1162010100,서울특별시 관악구 봉천동,8180466.0,7838260.0,8235274.0,8242134.0,9450000.0,10745230.0,10724420.0
1162010200,서울특별시 관악구 신림동,7140936.0,6573850.0,6000000.0,7246377.0,8483958.0,8799035.0,11142720.0
1121510400,서울특별시 광진구 광장동,3419696.0,5884790.0,7607296.0,7421384.0,8815534.0,7870912.0,9479167.0
1121510300,서울특별시 광진구 구의동,9502599.0,6482429.0,7614246.0,8472804.0,9116656.0,8291926.0,10492330.0
1121510900,서울특별시 광진구 군자동,6603774.0,7575758.0,7493188.0,7303313.0,7215627.0,11232440.0,10395710.0
1121510200,서울특별시 광진구 능동,9529728.0,8493696.0,,6155148.0,8070828.0,16610370.0,13350870.0
1121510500,서울특별시 광진구 자양동,6396037.0,6346482.0,7454852.0,7921382.0,8804348.0,10375490.0,12380620.0
1121510100,서울특별시 광진구 중곡동,5515320.0,5585344.0,6481482.0,7312540.0,7007933.0,7508349.0,7708679.0
1121510700,서울특별시 광진구 화양동,12211220.0,10100390.0,13235890.0,10258110.0,13320650.0,13154420.0,16333480.0
1153010300,서울특별시 구로구 가리봉동,,2569731.0,6806722.0,5109489.0,7534984.0,7011686.0,3883713.0
1153010700,서울특별시 구로구 개봉동,3928918.0,4279142.0,4801442.0,4927304.0,5601546.0,6407086.0,5870033.0
1153010600,서울특별시 구로구 고척동,4212616.0,3151690.0,5555556.0,4844720.0,4250992.0,4833659.0,4650226.0
1153010200,서울특별시 구로구 구로동,6622630.0,6335310.0,6049020.0,5378152.0,6872510.0,7051282.0,7682128.0
1153010900,서울특별시 구로구 궁동,,2816902.0,4290618.0,5234900.0,4510810.0,,4518072.0
1153010100,서울특별시 구로구 신도림동,1863144.0,4598214.0,13720460.0,5078283.0,6030799.0,5259824.0,5384616.0
1153010800,서울특별시 구로구 오류동,12075470.0,7545454.0,5000000.0,4943463.0,9801774.0,8156863.0,5582000.0
1153011000,서울특별시 구로구 온수동,3902439.0,3956140.0,3949152.0,3645564.0,6441173.0,4200184.0,4931642.0
1153011100,서울특별시 구로구 천왕동,,,,,2587194.0,,5615154.0
1153011200,서울특별시 구로구 항동,1210778.0,,,,,4419890.0,6864675.0
1154510100,서울특별시 금천구 가산동,10538250.0,8854489.0,7407407.0,7218310.0,7592304.0,8455166.0,9430610.0
1154510200,서울특별시 금천구 독산동,4883833.0,4900595.0,5307751.0,5854714.0,6240768.0,6716530.0,7245981.0
1154510300,서울특별시 금천구 시흥동,5922951.0,5019848.0,5261791.0,6598615.0,5805516.0,6371238.0,7525586.0
1135010300,서울특별시 노원구 공릉동,5838162.0,7472671.0,6260434.0,7377049.0,6701826.0,6940904.0,6996610.0
