기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2011.4/4,합계,합계,"4,192,752","10,528,774","5,208,492","5,320,282","10,249,679","5,073,899","5,175,780","279,095","134,593","144,502",2.44,"1,049,425"
2011.4/4,종로구,소계,"76,688","177,419","88,107","89,312","168,382","83,931","84,451","9,037","4,176","4,861",2.2,"22,939"
2011.4/4,종로구,사직동,"4,646","10,602","4,963","5,639","10,150","4,701","5,449",452,262,190,2.18,"1,563"
2011.4/4,종로구,삼청동,"1,606","3,590","1,747","1,843","3,415","1,643","1,772",175,104,71,2.13,607
2011.4/4,종로구,부암동,"4,611","11,596","5,735","5,861","11,369","5,629","5,740",227,106,121,2.47,"1,570"
2011.4/4,종로구,평창동,"7,381","19,996","9,586","10,410","19,677","9,443","10,234",319,143,176,2.67,"2,586"
2011.4/4,종로구,무악동,"3,271","8,635","4,139","4,496","8,562","4,115","4,447",73,24,49,2.62,"1,085"
2011.4/4,종로구,교남동,"4,473","9,250","4,577","4,673","9,048","4,493","4,555",202,84,118,2.02,"1,326"
2011.4/4,종로구,가회동,"2,469","5,686","2,725","2,961","5,555","2,667","2,888",131,58,73,2.25,853
2011.4/4,종로구,종로1.2.3.4가동,"5,213","9,210","5,215","3,995","7,923","4,533","3,390","1,287",682,605,1.52,"1,552"
2011.4/4,종로구,종로5·6가동,"3,140","6,501","3,469","3,032","6,156","3,319","2,837",345,150,195,1.96,917
2011.4/4,종로구,이화동,"4,551","9,820","4,708","5,112","9,252","4,446","4,806",568,262,306,2.03,"1,102"
2011.4/4,종로구,혜화동,"5,827","13,006","6,274","6,732","12,172","5,926","6,246",834,348,486,2.09,"1,393"
2011.4/4,종로구,명륜3가동,"3,496","7,271","3,710","3,561","6,246","3,283","2,963","1,025",427,598,1.79,881
2011.4/4,종로구,창신1동,"3,611","8,386","4,333","4,053","6,854","3,619","3,235","1,532",714,818,1.9,973
2011.4/4,종로구,창신2동,"5,055","12,231","6,170","6,061","11,486","5,844","5,642",745,326,419,2.27,"1,399"
2011.4/4,종로구,창신3동,"3,147","8,644","4,292","4,352","8,549","4,258","4,291",95,34,61,2.72,945
2011.4/4,종로구,숭인1동,"3,297","8,040","4,007","4,033","7,450","3,748","3,702",590,259,331,2.26,859
2011.4/4,종로구,숭인2동,"4,834","9,531","5,005","4,526","9,258","4,880","4,378",273,125,148,1.92,"1,315"
2011.4/4,종로구,청운효자동,"6,060","15,424","7,452","7,972","15,260","7,384","7,876",164,68,96,2.52,"2,013"
2011.4/4,중구,소계,"61,475","141,567","71,137","70,430","133,193","67,065","66,128","8,374","4,072","4,302",2.17,"18,099"
2011.4/4,중구,소공동,696,"1,726",955,771,"1,301",689,612,425,266,159,1.87,159
2011.4/4,중구,회현동,"3,476","6,485","3,538","2,947","5,676","3,111","2,565",809,427,382,1.63,"1,111"
2011.4/4,중구,명동,"1,702","4,099","1,955","2,144","3,411","1,525","1,886",688,430,258,2,609
2011.4/4,중구,필동,"2,435","5,234","2,770","2,464","4,616","2,481","2,135",618,289,329,1.9,718
2011.4/4,중구,장충동,"2,930","6,084","3,099","2,985","5,596","2,880","2,716",488,219,269,1.91,692
2011.4/4,중구,광희동,"3,125","6,662","3,493","3,169","5,698","3,066","2,632",964,427,537,1.82,907
2011.4/4,중구,을지로동,"1,405","2,145","1,312",833,"2,027","1,261",766,118,51,67,1.44,405
2011.4/4,중구,신당1동,"4,126","10,026","5,080","4,946","8,187","4,217","3,970","1,839",863,976,1.98,"1,076"
2011.4/4,중구,신당2동,"7,302","17,007","8,402","8,605","16,647","8,253","8,394",360,149,211,2.28,"2,013"
2011.4/4,중구,신당3동,"8,012","19,742","9,512","10,230","19,523","9,417","10,106",219,95,124,2.44,"2,642"
2011.4/4,중구,신당4동,"6,510","16,147","7,788","8,359","15,991","7,727","8,264",156,61,95,2.46,"2,027"
2011.4/4,중구,신당5동,"4,286","9,683","4,875","4,808","9,404","4,746","4,658",279,129,150,2.19,"1,206"
2011.4/4,중구,신당6동,"3,847","10,281","5,028","5,253","10,144","4,966","5,178",137,62,75,2.64,"1,188"
2011.4/4,중구,황학동,"5,887","13,464","6,863","6,601","12,523","6,418","6,105",941,445,496,2.13,"1,509"
2011.4/4,중구,중림동,"5,736","12,782","6,467","6,315","12,449","6,308","6,141",333,159,174,2.17,"1,837"
2011.4/4,용산구,소계,"112,617","259,288","126,735","132,553","246,501","120,183","126,318","12,787","6,552","6,235",2.19,"31,837"
2011.4/4,용산구,후암동,"9,188","20,746","10,361","10,385","20,156","10,085","10,071",590,276,314,2.19,"2,545"
2011.4/4,용산구,용산2가동,"6,179","14,192","6,970","7,222","13,142","6,371","6,771","1,050",599,451,2.13,"1,781"
2011.4/4,용산구,남영동,"5,148","8,344","4,892","3,452","7,852","4,668","3,184",492,224,268,1.53,"1,181"
