기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2014.4/4,합계,합계,"4,194,176","10,369,593","5,109,013","5,260,580","10,103,233","4,979,768","5,123,465","266,360","129,245","137,115",2.41,"1,221,616"
2014.4/4,종로구,소계,"73,101","165,344","81,439","83,905","156,993","77,621","79,372","8,351","3,818","4,533",2.15,"24,537"
2014.4/4,종로구,사직동,"4,400","10,132","4,765","5,367","9,774","4,571","5,203",358,194,164,2.22,"1,676"
2014.4/4,종로구,삼청동,"1,461","3,268","1,586","1,682","3,058","1,465","1,593",210,121,89,2.09,647
2014.4/4,종로구,부암동,"4,494","11,356","5,539","5,817","10,933","5,356","5,577",423,183,240,2.43,"1,723"
2014.4/4,종로구,평창동,"7,416","19,595","9,302","10,293","19,393","9,207","10,186",202,95,107,2.62,"2,889"
2014.4/4,종로구,무악동,"3,174","8,445","3,979","4,466","8,376","3,951","4,425",69,28,41,2.64,"1,224"
2014.4/4,종로구,교남동,"2,426","5,005","2,421","2,584","4,921","2,382","2,539",84,39,45,2.03,838
2014.4/4,종로구,가회동,"2,286","5,214","2,450","2,764","5,070","2,377","2,693",144,73,71,2.22,883
2014.4/4,종로구,종로1.2.3.4가동,"5,416","8,920","5,089","3,831","7,894","4,516","3,378","1,026",573,453,1.46,"1,736"
2014.4/4,종로구,종로5·6가동,"3,119","6,069","3,287","2,782","5,744","3,136","2,608",325,151,174,1.84,"1,057"
2014.4/4,종로구,이화동,"4,481","9,312","4,378","4,934","8,814","4,170","4,644",498,208,290,1.97,"1,197"
2014.4/4,종로구,창신1동,"3,321","7,097","3,751","3,346","6,209","3,321","2,888",888,430,458,1.87,"1,083"
2014.4/4,종로구,창신2동,"4,567","11,311","5,686","5,625","10,201","5,175","5,026","1,110",511,599,2.23,"1,511"
2014.4/4,종로구,창신3동,"3,006","8,091","4,064","4,027","7,939","3,991","3,948",152,73,79,2.64,"1,043"
2014.4/4,종로구,숭인1동,"3,161","7,348","3,660","3,688","6,973","3,470","3,503",375,190,185,2.21,982
2014.4/4,종로구,숭인2동,"5,374","10,078","5,147","4,931","9,625","4,954","4,671",453,193,260,1.79,"1,488"
2014.4/4,종로구,청운효자동,"5,830","14,472","6,885","7,587","14,308","6,807","7,501",164,78,86,2.45,"2,084"
2014.4/4,종로구,혜화동,"9,169","19,631","9,450","10,181","17,761","8,772","8,989","1,870",678,"1,192",1.94,"2,476"
2014.4/4,중구,소계,"59,960","136,227","67,952","68,275","128,065","64,033","64,032","8,162","3,919","4,243",2.14,"19,960"
2014.4/4,중구,소공동,655,"1,895","1,044",851,"1,278",681,597,617,363,254,1.95,187
2014.4/4,중구,회현동,"3,531","6,505","3,516","2,989","5,795","3,139","2,656",710,377,333,1.64,"1,278"
2014.4/4,중구,명동,"1,478","3,614","1,619","1,995","3,088","1,336","1,752",526,283,243,2.09,636
2014.4/4,중구,필동,"2,414","5,040","2,600","2,440","4,418","2,334","2,084",622,266,356,1.83,765
2014.4/4,중구,장충동,"2,869","6,079","3,036","3,043","5,314","2,742","2,572",765,294,471,1.85,773
2014.4/4,중구,광희동,"2,873","5,961","3,131","2,830","5,167","2,758","2,409",794,373,421,1.8,997
2014.4/4,중구,을지로동,"1,256","1,920","1,189",731,"1,794","1,128",666,126,61,65,1.43,433
2014.4/4,중구,신당5동,"4,751","10,788","5,419","5,369","10,433","5,263","5,170",355,156,199,2.2,"1,474"
2014.4/4,중구,황학동,"6,045","13,186","6,619","6,567","12,316","6,192","6,124",870,427,443,2.04,"1,662"
2014.4/4,중구,중림동,"4,492","9,562","4,856","4,706","9,274","4,704","4,570",288,152,136,2.06,"1,567"
2014.4/4,중구,신당동,"3,889","8,758","4,458","4,300","7,353","3,785","3,568","1,405",673,732,1.89,"1,186"
2014.4/4,중구,다산동,"7,004","16,268","7,944","8,324","15,814","7,748","8,066",454,196,258,2.26,"2,247"
2014.4/4,중구,약수동,"7,908","19,160","9,227","9,933","18,893","9,091","9,802",267,136,131,2.39,"3,009"
2014.4/4,중구,청구동,"6,485","15,587","7,510","8,077","15,394","7,425","7,969",193,85,108,2.37,"2,256"
2014.4/4,중구,동화동,"4,310","11,904","5,784","6,120","11,734","5,707","6,027",170,77,93,2.72,"1,490"
2014.4/4,용산구,소계,"108,429","249,914","122,047","127,867","235,951","114,578","121,373","13,963","7,469","6,494",2.18,"34,896"
2014.4/4,용산구,후암동,"8,719","19,683","9,745","9,938","19,162","9,496","9,666",521,249,272,2.2,"2,716"
2014.4/4,용산구,용산2가동,"5,820","13,330","6,598","6,732","12,072","5,879","6,193","1,258",719,539,2.07,"1,949"
2014.4/4,용산구,남영동,"5,358","8,576","5,187","3,389","8,093","4,949","3,144",483,238,245,1.51,"1,406"
2014.4/4,용산구,원효로2동,"6,007","15,671","7,364","8,307","15,504","7,301","8,203",167,63,104,2.58,"2,064"
2014.4/4,용산구,효창동,"4,437","11,276","5,491","5,785","11,110","5,425","5,685",166,66,100,2.5,"1,540"
2014.4/4,용산구,용문동,"5,149","12,994","6,277","6,717","12,842","6,204","6,638",152,73,79,2.49,"1,739"
2014.4/4,용산구,이촌1동,"9,642","28,007","13,146","14,861","26,652","12,413","14,239","1,355",733,622,2.76,"3,658"
2014.4/4,용산구,이촌2동,"4,145","9,800","4,687","5,113","9,706","4,647","5,059",94,40,54,2.34,"1,582"
2014.4/4,용산구,이태원1동,"4,190","9,470","4,715","4,755","7,827","3,672","4,155","1,643","1,043",600,1.87,"1,483"
2014.4/4,용산구,이태원2동,"5,189","11,550","5,456","6,094","10,392","4,783","5,609","1,158",673,485,2,"1,839"
2014.4/4,용산구,서빙고동,"5,333","14,293","6,895","7,398","13,699","6,602","7,097",594,293,301,2.57,"1,946"
2014.4/4,용산구,보광동,"8,387","17,665","8,685","8,980","16,691","8,146","8,545",974,539,435,1.99,"2,525"
2014.4/4,용산구,청파동,"11,034","22,939","10,898","12,041","22,018","10,584","11,434",921,314,607,2,"2,976"
2014.4/4,용산구,원효로1동,"5,937","13,547","6,656","6,891","13,113","6,445","6,668",434,211,223,2.21,"1,541"
2014.4/4,용산구,한강로동,"7,710","16,491","8,263","8,228","15,034","7,492","7,542","1,457",771,686,1.95,"2,683"
2014.4/4,용산구,한남동,"11,372","24,622","11,984","12,638","22,036","10,540","11,496","2,586","1,444","1,142",1.94,"3,249"
2014.4/4,성동구,소계,"125,814","303,891","151,149","152,742","296,086","147,363","148,723","7,805","3,786","4,019",2.35,"36,684"
2014.4/4,성동구,왕십리2동,"6,793","16,812","8,308","8,504","16,452","8,140","8,312",360,168,192,2.42,"2,049"
2014.4/4,성동구,마장동,"10,323","25,148","12,462","12,686","24,509","12,164","12,345",639,298,341,2.37,"3,084"
2014.4/4,성동구,사근동,"6,294","12,574","6,510","6,064","11,206","5,863","5,343","1,368",647,721,1.78,"1,371"
2014.4/4,성동구,행당1동,"6,583","15,553","7,637","7,916","15,103","7,431","7,672",450,206,244,2.29,"1,982"
2014.4/4,성동구,행당2동,"9,476","26,399","12,557","13,842","26,307","12,524","13,783",92,33,59,2.78,"3,008"
2014.4/4,성동구,응봉동,"6,325","17,158","8,188","8,970","17,103","8,169","8,934",55,19,36,2.7,"2,208"
2014.4/4,성동구,금호1가동,"5,526","14,117","6,859","7,258","14,014","6,815","7,199",103,44,59,2.54,"1,930"
2014.4/4,성동구,금호4가동,"6,164","15,004","7,269","7,735","14,825","7,185","7,640",179,84,95,2.41,"1,822"
2014.4/4,성동구,성수1가1동,"7,134","17,774","9,010","8,764","17,356","8,781","8,575",418,229,189,2.43,"1,812"
2014.4/4,성동구,성수1가2동,"7,951","18,111","9,181","8,930","17,687","8,964","8,723",424,217,207,2.22,"1,918"
2014.4/4,성동구,성수2가1동,"8,901","20,532","10,701","9,831","19,699","10,299","9,400",833,402,431,2.21,"2,325"
2014.4/4,성동구,성수2가3동,"5,480","12,434","6,483","5,951","11,982","6,219","5,763",452,264,188,2.19,"1,498"
