기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2016.3/4,합계,합계,"4,191,411","10,236,408","5,025,843","5,210,565","9,964,291","4,895,508","5,068,783","272,117","130,335","141,782",2.38,"1,293,335"
2016.3/4,종로구,소계,"72,582","162,957","79,838","83,119","153,793","75,744","78,049","9,164","4,094","5,070",2.12,"25,040"
2016.3/4,종로구,사직동,"4,379","9,992","4,595","5,397","9,673","4,420","5,253",319,175,144,2.21,"1,706"
2016.3/4,종로구,삼청동,"1,398","3,138","1,494","1,644","2,923","1,382","1,541",215,112,103,2.09,620
2016.3/4,종로구,부암동,"4,386","11,138","5,387","5,751","10,687","5,192","5,495",451,195,256,2.44,"1,722"
2016.3/4,종로구,평창동,"7,588","19,575","9,287","10,288","19,394","9,202","10,192",181,85,96,2.56,"2,958"
2016.3/4,종로구,무악동,"3,049","8,496","4,006","4,490","8,426","3,980","4,446",70,26,44,2.76,"1,179"
2016.3/4,종로구,교남동,"2,306","4,792","2,282","2,510","4,726","2,255","2,471",66,27,39,2.05,877
2016.3/4,종로구,가회동,"2,156","4,858","2,246","2,612","4,715","2,174","2,541",143,72,71,2.19,887
2016.3/4,종로구,종로1.2.3.4가동,"5,411","8,781","5,107","3,674","7,790","4,537","3,253",991,570,421,1.44,"1,799"
2016.3/4,종로구,종로5·6가동,"3,214","5,887","3,210","2,677","5,587","3,078","2,509",300,132,168,1.74,"1,087"
2016.3/4,종로구,이화동,"4,505","9,091","4,280","4,811","8,601","4,046","4,555",490,234,256,1.91,"1,246"
2016.3/4,종로구,창신1동,"3,176","6,660","3,559","3,101","5,821","3,133","2,688",839,426,413,1.83,"1,101"
2016.3/4,종로구,창신2동,"4,424","10,851","5,499","5,352","9,664","4,939","4,725","1,187",560,627,2.18,"1,572"
2016.3/4,종로구,창신3동,"2,885","7,731","3,859","3,872","7,552","3,769","3,783",179,90,89,2.62,"1,063"
