동이름,2008~2009,2009~2010,2010~2011,2011~2012,2012~2013,2013~2014,2014~2015,2015~2016,2016~2017
합계,0.077,1.065,-0.441,-0.82,-0.521,-0.178,-0.699,-0.904,-0.779
사직동,0.124,1.95,-0.619,-1.179,-1.432,-1.888,-0.977,-0.199,-2.956
삼청동,-2.21,-0.296,-3.13,-2.925,-3.386,-2.94,-2.876,-1.764,-0.674
부암동,-2.774,0.396,-0.446,-1.018,-0.078,-0.985,-1.224,-1.542,-2.879
평창동,0.116,0.713,0.376,-0.9,-0.187,-0.93,-0.924,0.221,-1.511
무악동,0.242,0.459,-1.359,-0.428,0.326,-2.098,2.06,-1.195,-1.656
교남동,-2.785,1.957,-0.794,-9.816,-34.668,-8.165,-2.597,-2.605,118.26
가회동,-1.588,-1.53,-2.92,-2.919,-3.388,-2.231,-4.852,-3.648,-2.573
종로1.2.3.4가동,-0.81,6.764,0.601,-2.454,-2.081,1.398,-1.502,-0.672,-1.547
종로5·6가동,-3.231,0.332,-2.093,-0.969,-2.998,-2.818,-0.198,-4.656,-1.472
이화동,-4.869,0.07,-1.712,-3.045,-0.903,-1.304,-1.031,-3.136,-1.96
혜화동,-0.932,0.239,0.077,52.722,-1.415,0.25,2.216,1.689,0.118
명륜3가동,-1.533,-1.352,0.692,,,,,,
창신1동,-0.875,1.989,-3.209,-8.55,-5.633,-1.935,-3.311,-3.964,-4.628
창신2동,-1.871,2.08,-1.084,-2.019,-2.311,-3.383,-2.396,-3.071,-3.99
창신3동,-0.641,1.232,-1.661,-1.643,-2.258,-2.635,-1.953,-2.269,-2.928
숭인1동,2.084,1.045,-2.142,-4.328,-1.677,-2.843,-1.579,-1.701,-3.432
숭인2동,4.392,3.064,-0.241,0.304,4.017,1.348,-0.943,1.653,-0.079
청운효자동,-3.905,-0.793,-2.945,-1.329,-3.436,-1.524,-0.815,-1.693,-3.579
소공동,-9.133,5.471,4.101,2.202,0.113,7.305,-1.372,38.898,7.357
회현동,-1.157,22.726,1.423,1.48,-0.274,-0.884,-3.72,-2.156,-2.856
명동,2.364,18.016,-0.99,0.342,-2.431,-9.943,-2.573,0.085,-1.561
필동,-0.511,3.618,-0.134,-4.681,-2.225,3.321,1.21,0.372,-4.59
장충동,0.764,-2.038,-1.871,1.726,1.729,-3.447,-2.895,-0.983,-3.37
광희동,3.869,8.903,-2.216,-3.032,-5.464,-2.391,-2.416,3.679,-2.587
을지로동,4.177,3.814,1.036,-3.31,-2.507,-5.045,-3.438,-1.51,-2.191
신당1동,0.395,-0.874,-2.905,-6.992,,,,,
신당2동,-0.197,-0.58,-0.793,-1.517,,,,,
신당3동,-1.992,0.101,-0.759,-0.527,,,,,
신당4동,-0.175,-1.237,-1.38,-0.787,,,,,
신당5동,-4.183,1.316,14.321,10.431,-0.065,0.955,-3.142,-2.728,-3.286
신당6동,-4.988,0.133,4.865,17.236,,,,,
황학동,3.431,6.698,-0.569,-2.778,-0.168,0.903,0.766,-0.527,-0.923
중림동,-2.008,1.168,-2.286,-13.402,-10.164,-3.842,-6.097,-0.858,30.027
후암동,-1.437,1.941,-0.77,-1.605,-1.935,-1.673,0.005,-1.91,-2.393
용산2가동,-0.768,1.876,-1.032,-2.692,-1.912,-1.595,-1.68,-2.747,-3.068
남영동,0.463,5.196,-1.161,-1.57,2.788,1.587,0.781,1.377,-2.02
원효로2동,-1.328,1.008,-2.409,-0.698,-0.735,-0.885,0.242,-1.254,-1.799
효창동,-0.305,6.758,0.035,-0.754,-0.498,-1.018,-12.948,-2.547,0.293
용문동,1.37,4.462,-0.912,-2.619,-0.701,-0.307,0.254,-1.267,-0.801
이촌1동,0.059,0.073,-1.099,-0.741,-0.736,-0.67,3.553,0.455,-0.597
이촌2동,-1.028,1.649,-1.2,-1.613,-3.019,-2.526,-1.398,-2.929,-1.61
이태원1동,-2.462,5.761,-2.836,-3.862,-3.376,-1.804,-4.646,-2.481,-0.17
이태원2동,-1.237,2.819,0.076,0.44,-0.16,-2.606,-3.429,-1.345,0.091
서빙고동,-0.463,0.905,22.193,-0.81,-1.626,0.506,0.343,1.15,-1.606
보광동,-0.889,0.285,-3.098,-2.007,-2.179,-1.648,-2.129,-1.741,-2.631
청파동,1.174,1.393,-0.916,-2.915,-2.171,-2.087,-2.498,-2.025,-3.103
원효로1동,-0.807,7.663,13.862,0.187,1.293,4.176,5.78,2.701,3.73
한강로동,6.614,3.263,-2.245,-0.006,-1.638,1.315,-0.406,0.237,9.694
한남동,0.426,1.797,3.176,-2.572,-2.092,-1.661,-1.21,-3.659,1.156
