Í∏∞Í∞Ñ	?êÏπòÍµ????∏Î?	Í≥?Í≥?Í≥??úÍµ≠???úÍµ≠???úÍµ≠???±Î°ù?∏Íµ≠???±Î°ù?∏Íµ≠???±Î°ù?∏Íµ≠???∏Î??πÏù∏Íµ?65?∏Ïù¥?ÅÍ≥†?πÏûê												
Í∏∞Í∞Ñ	?êÏπòÍµ????∏Î?	?∏Íµ¨	?®Ïûê	?¨Ïûê	?∏Íµ¨	?®Ïûê	?¨Ïûê	?∏Íµ¨	?®Ïûê	?¨Ïûê	?∏Î??πÏù∏Íµ?65?∏Ïù¥?ÅÍ≥†?πÏûê			
2008.2/4	?©Í≥Ñ	?©Í≥Ñ	"4,075,336"	"10,450,784"	"5,185,567"	"5,265,217"	"10,196,863"	"5,062,784"	"5,134,079"	"253,921"	"122,783"	"131,138"	2.5	"869,676"
2008.2/4	Ï¢ÖÎ°úÍµ??©Í≥Ñ	"73,746"	"178,131"	"88,895"	"89,236"	"169,362"	"84,703"	"84,659"	"8,769"	"4,192"	"4,577"	2.3	"19,565"	
2008.2/4	"Ï¢ÖÎ°úÍµ?Ï≤?ö¥??1,661"	"4,829"	"2,459"	"2,370"	"4,681"	"2,396"	"2,285"	148	63	85	2.82	509		
2008.2/4	"Ï¢ÖÎ°úÍµ??®Ïûê??4,823"	"12,205"	"5,887"	"6,318"	"12,104"	"5,857"	"6,247"	101	30	71	2.51	"1,421"		
2008.2/4	"Ï¢ÖÎ°úÍµ??¨ÏßÅ??4,274"	"10,113"	"4,818"	"5,295"	"9,597"	"4,548"	"5,049"	516	270	246	2.25	"1,301"		
2008.2/4	"Ï¢ÖÎ°úÍµ??ºÏ≤≠??1,736"	"3,948"	"1,915"	"2,033"	"3,808"	"1,838"	"1,970"	140	77	63	2.19	586		
2008.2/4	Ï¢ÖÎ°úÍµ?Î∂Ä?îÎèô	"4,584"	"11,923"	"5,926"	"5,997"	"11,598"	"5,772"	"5,826"	325	154	171	2.53	"1,416"	
2008.2/4	"Ï¢ÖÎ°úÍµ??âÏ∞Ω??7,014"	"19,760"	"9,592"	"10,168"	"19,384"	"9,408"	"9,976"	376	184	192	2.76	"2,246"		
2008.2/4	"Ï¢ÖÎ°úÍµ?Î¨¥ÏïÖ??3,083"	"8,518"	"4,112"	"4,406"	"8,446"	"4,080"	"4,366"	72	32	40	2.74	831		
2008.2/4	"Ï¢ÖÎ°úÍµ?ÍµêÎÇ®??4,378"	"9,354"	"4,558"	"4,796"	"9,120"	"4,449"	"4,671"	234	109	125	2.08	"1,047"		
2008.2/4	Ï¢ÖÎ°úÍµ?Í∞Ä?åÎèô	"2,502"	"6,011"	"2,900"	"3,111"	"5,833"	"2,821"	"3,012"	178	79	99	2.33	782	
2008.2/4	"Ï¢ÖÎ°úÍµ?Ï¢ÖÎ°ú1.2.3.4Í∞Ä??4,350"	"8,493"	"4,727"	"3,766"	"7,145"	"4,033"	"3,112"	"1,348"	694	654	1.64	"1,184"		
2008.2/4	"Ï¢ÖÎ°úÍµ?Ï¢ÖÎ°ú5¬∑6Í∞Ä??3,023"	"6,900"	"3,649"	"3,251"	"6,532"	"3,486"	"3,046"	368	163	205	2.16	825		
2008.2/4	"Ï¢ÖÎ°úÍµ??¥Ìôî??4,520"	"10,512"	"5,096"	"5,416"	"9,549"	"4,635"	"4,914"	963	461	502	2.11	923		
2008.2/4	"Ï¢ÖÎ°úÍµ??úÌôî??5,620"	"12,950"	"6,281"	"6,669"	"12,292"	"5,995"	"6,297"	658	286	372	2.19	"1,235"		
2008.2/4	"Ï¢ÖÎ°úÍµ?Î™ÖÎ•ú3Í∞Ä??3,715"	"7,376"	"3,996"	"3,380"	"6,760"	"3,722"	"3,038"	616	274	342	1.82	782		
2008.2/4	"Ï¢ÖÎ°úÍµ?Ï∞ΩÏã†1??3,452"	"8,504"	"4,342"	"4,162"	"7,058"	"3,635"	"3,423"	"1,446"	707	739	2.04	793		
2008.2/4	"Ï¢ÖÎ°úÍµ?Ï∞ΩÏã†2??5,032"	"12,375"	"6,274"	"6,101"	"11,936"	"6,069"	"5,867"	439	205	234	2.37	"1,205"		
2008.2/4	"Ï¢ÖÎ°úÍµ?Ï∞ΩÏã†3??3,166"	"8,772"	"4,437"	"4,335"	"8,691"	"4,402"	"4,289"	81	35	46	2.75	799		
2008.2/4	"Ï¢ÖÎ°úÍµ???ù∏1??2,840"	"7,298"	"3,597"	"3,701"	"6,695"	"3,304"	"3,391"	603	293	310	2.36	693		
2008.2/4	"Ï¢ÖÎ°úÍµ???ù∏2??3,973"	"8,290"	"4,329"	"3,961"	"8,133"	"4,253"	"3,880"	157	76	81	2.05	987		
2008.2/4	Ï§ëÍµ¨	?©Í≥Ñ	"58,045"	"138,934"	"69,314"	"69,620"	"130,540"	"65,195"	"65,345"	"8,394"	"4,119"	"4,275"	2.25	"14,965"
2008.2/4	Ï§ëÍµ¨	?åÍ≥µ??527	"1,614"	882	732	995	505	490	619	377	242	1.89	112	
2008.2/4	Ï§ëÍµ¨	"?åÌòÑ??2,630"	"5,355"	"2,933"	"2,422"	"4,540"	"2,463"	"2,077"	815	470	345	1.73	714	
2008.2/4	Ï§ëÍµ¨	Î™ÖÎèô	"1,301"	"3,420"	"1,601"	"1,819"	"2,804"	"1,231"	"1,573"	616	370	246	2.16	446
2008.2/4	Ï§ëÍµ¨	?ÑÎèô	"2,300"	"5,055"	"2,637"	"2,418"	"4,661"	"2,446"	"2,215"	394	191	203	2.03	599
2008.2/4	Ï§ëÍµ¨	"?•Ï∂©??2,936"	"6,299"	"3,126"	"3,173"	"5,846"	"2,945"	"2,901"	453	181	272	1.99	634	
2008.2/4	Ï§ëÍµ¨	"Í¥ëÌù¨??2,668"	"5,996"	"3,170"	"2,826"	"4,965"	"2,685"	"2,280"	"1,031"	485	546	1.86	690	
2008.2/4	Ï§ëÍµ¨	?ÑÏ?Î°úÎèô	"1,193"	"1,957"	"1,138"	819	"1,835"	"1,084"	751	122	54	68	1.54	316
2008.2/4	Ï§ëÍµ¨	"?†Îãπ1??3,965"	"10,307"	"5,116"	"5,191"	"8,247"	"4,194"	"4,053"	"2,060"	922	"1,138"	2.08	872	
2008.2/4	Ï§ëÍµ¨	"?†Îãπ2??7,070"	"16,980"	"8,371"	"8,609"	"16,702"	"8,239"	"8,463"	278	132	146	2.36	"1,674"	
2008.2/4	Ï§ëÍµ¨	"?†Îãπ3??8,098"	"20,136"	"9,729"	"10,407"	"19,895"	"9,618"	"10,277"	241	111	130	2.46	"2,228"	
2008.2/4	Ï§ëÍµ¨	"?†Îãπ4??6,408"	"16,473"	"7,995"	"8,478"	"16,300"	"7,920"	"8,380"	173	75	98	2.54	"1,741"	
2008.2/4	Ï§ëÍµ¨	"?†Îãπ5??4,413"	"10,080"	"5,083"	"4,997"	"9,806"	"4,959"	"4,847"	274	124	150	2.22	"1,155"	
