Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2009.2/4,합계,합계,"4,106,591","10,489,711","5,197,856","5,291,855","10,226,685","5,071,157","5,155,528","263,026","126,699","136,327",2.49,"925,597"
2009.2/4,종로구,소계,"74,372","178,569","89,125","89,444","169,520","84,832","84,688","9,049","4,293","4,756",2.28,"20,537"
2009.2/4,종로구,사직동,"4,402","10,410","4,932","5,478","9,943","4,697","5,246",467,235,232,2.26,"1,385"
2009.2/4,종로구,삼청동,"1,648","3,745","1,813","1,932","3,603","1,737","1,866",142,76,66,2.19,589
2009.2/4,종로구,부암동,"4,494","11,637","5,786","5,851","11,348","5,658","5,690",289,128,161,2.53,"1,448"
2009.2/4,종로구,평창동,"7,042","19,692","9,533","10,159","19,289","9,340","9,949",403,193,210,2.74,"2,327"
2009.2/4,종로구,무악동,"3,194","8,791","4,232","4,559","8,696","4,195","4,501",95,37,58,2.72,930
2009.2/4,종로구,교남동,"4,313","9,312","4,580","4,732","9,061","4,466","4,595",251,114,137,2.1,"1,121"
2009.2/4,종로구,가회동,"2,495","6,017","2,908","3,109","5,812","2,817","2,995",205,91,114,2.33,798
2009.2/4,종로구,종로1.2.3.4가동,"4,479","8,520","4,803","3,717","7,218","4,113","3,105","1,302",690,612,1.61,"1,247"
2009.2/4,종로구,종로5·6가동,"3,033","6,760","3,594","3,166","6,407","3,442","2,965",353,152,201,2.11,870
2009.2/4,종로구,이화동,"4,508","10,198","4,925","5,273","9,453","4,573","4,880",745,352,393,2.1,938
2009.2/4,종로구,혜화동,"5,551","12,890","6,239","6,651","12,130","5,904","6,226",760,335,425,2.19,"1,308"
2009.2/4,종로구,명륜3가동,"3,729","7,417","3,970","3,447","6,646","3,628","3,018",771,342,429,1.78,816
2009.2/4,종로구,창신1동,"3,495","8,617","4,424","4,193","7,021","3,654","3,367","1,596",770,826,2.01,867
2009.2/4,종로구,창신2동,"5,042","12,173","6,178","5,995","11,698","5,958","5,740",475,220,255,2.32,"1,265"
2009.2/4,종로구,창신3동,"3,145","8,732","4,398","4,334","8,641","4,356","4,285",91,42,49,2.75,831
2009.2/4,종로구,숭인1동,"3,168","8,155","4,026","4,129","7,494","3,719","3,775",661,307,354,2.37,763
2009.2/4,종로구,숭인2동,"4,461","9,240","4,785","4,455","9,071","4,710","4,361",169,75,94,2.03,"1,156"
2009.2/4,종로구,청운효자동,"6,173","16,263","7,999","8,264","15,989","7,865","8,124",274,134,140,2.59,"1,878"
2009.2/4,중구,소계,"58,134","138,531","69,321","69,210","129,927","65,145","64,782","8,604","4,176","4,428",2.23,"15,781"
2009.2/4,중구,소공동,579,"1,653",903,750,"1,099",577,522,554,326,228,1.9,138
2009.2/4,중구,회현동,"2,649","5,224","2,915","2,309","4,438","2,478","1,960",786,437,349,1.68,770
2009.2/4,중구,명동,"1,385","3,446","1,616","1,830","2,860","1,280","1,580",586,336,250,2.06,486
2009.2/4,중구,필동,"2,312","5,140","2,721","2,419","4,606","2,472","2,134",534,249,285,1.99,619
2009.2/4,중구,장충동,"2,930","6,299","3,137","3,162","5,752","2,907","2,845",547,230,317,1.96,667
2009.2/4,중구,광희동,"2,701","6,011","3,192","2,819","4,977","2,702","2,275","1,034",490,544,1.84,720
2009.2/4,중구,을지로동,"1,240","1,996","1,209",787,"1,856","1,139",717,140,70,70,1.5,332
2009.2/4,중구,신당1동,"4,110","10,510","5,281","5,229","8,424","4,342","4,082","2,086",939,"1,147",2.05,"1,005"
2009.2/4,중구,신당2동,"7,304","17,325","8,509","8,816","17,030","8,371","8,659",295,138,157,2.33,"1,828"
2009.2/4,중구,신당3동,"8,060","20,155","9,762","10,393","19,921","9,655","10,266",234,107,127,2.47,"2,358"
2009.2/4,중구,신당4동,"6,529","16,636","8,028","8,608","16,460","7,944","8,516",176,84,92,2.52,"1,858"
2009.2/4,중구,신당5동,"3,697","8,478","4,274","4,204","8,223","4,152","4,071",255,122,133,2.22,"1,017"
2009.2/4,중구,신당6동,"3,705","9,958","4,879","5,079","9,819","4,811","5,008",139,68,71,2.65,"1,048"
2009.2/4,중구,황학동,"5,424","12,636","6,405","6,231","11,780","6,002","5,778",856,403,453,2.17,"1,307"
2009.2/4,중구,중림동,"5,509","13,064","6,490","6,574","12,682","6,313","6,369",382,177,205,2.3,"1,628"
2009.2/4,용산구,소계,"107,226","251,710","123,788","127,922","238,989","117,064","121,925","12,721","6,724","5,997",2.23,"27,738"
2009.2/4,용산구,후암동,"8,822","20,664","10,258","10,406","20,051","9,980","10,071",613,278,335,2.27,"2,240"
2009.2/4,용산구,용산2가동,"5,956","14,114","7,053","7,061","13,165","6,505","6,660",949,548,401,2.21,"1,556"
2009.2/4,용산구,남영동,"4,624","8,054","4,650","3,404","7,502","4,397","3,105",552,253,299,1.62,997
2009.2/4,용산구,원효로2동,"6,187","16,332","7,827","8,505","16,112","7,728","8,384",220,99,121,2.6,"1,668"
2009.2/4,용산구,효창동,"4,151","10,757","5,297","5,460","10,607","5,230","5,377",150,67,83,2.56,"1,194"
2009.2/4,용산구,용문동,"4,796","13,047","6,402","6,645","12,851","6,308","6,543",196,94,102,2.68,"1,336"
2009.2/4,용산구,이촌1동,"9,864","28,878","13,722","15,156","27,107","12,727","14,380","1,771",995,776,2.75,"2,983"
2009.2/4,용산구,이촌2동,"4,364","10,488","5,025","5,463","10,451","5,008","5,443",37,17,20,2.39,"1,275"
2009.2/4,용산구,이태원1동,"4,160","10,227","5,002","5,225","8,249","3,858","4,391","1,978","1,144",834,1.98,"1,199"
2009.2/4,용산구,이태원2동,"5,234","11,624","5,549","6,075","11,240","5,328","5,912",384,221,163,2.15,"1,573"
2009.2/4,용산구,서빙고동,"4,832","11,878","5,759","6,119","11,402","5,531","5,871",476,228,248,2.36,"1,623"
2009.2/4,용산구,보광동,"8,922","19,358","9,480","9,878","18,496","9,024","9,472",862,456,406,2.07,"2,132"
2009.2/4,용산구,청파동,"11,410","24,480","11,923","12,557","23,691","11,592","12,099",789,331,458,2.08,"2,389"
2009.2/4,용산구,원효로1동,"4,621","10,523","5,272","5,251","10,227","5,112","5,115",296,160,136,2.21,"1,058"
2009.2/4,용산구,한강로동,"7,656","16,366","8,269","8,097","15,499","7,836","7,663",867,433,434,2.02,"1,920"
2009.2/4,용산구,한남동,"11,627","24,920","12,300","12,620","22,339","10,900","11,439","2,581","1,400","1,181",1.92,"2,595"
2009.2/4,성동구,소계,"126,874","318,706","159,592","159,114","310,305","155,498","154,807","8,401","4,094","4,307",2.45,"29,943"
2009.2/4,성동구,왕십리2동,"7,493","19,197","9,515","9,682","19,096","9,472","9,624",101,43,58,2.55,"1,789"
2009.2/4,성동구,마장동,"10,103","26,502","13,364","13,138","25,994","13,106","12,888",508,258,250,2.57,"2,531"
2009.2/4,성동구,사근동,"5,638","12,084","6,441","5,643","10,958","5,905","5,053","1,126",536,590,1.94,"1,123"
2009.2/4,성동구,행당1동,"7,699","18,378","9,061","9,317","18,167","8,973","9,194",211,88,123,2.36,"1,828"
2009.2/4,성동구,행당2동,"8,779","25,139","12,111","13,028","25,066","12,077","12,989",73,34,39,2.86,"2,165"
2009.2/4,성동구,응봉동,"6,529","17,793","8,549","9,244","17,710","8,511","9,199",83,38,45,2.71,"1,703"
2009.2/4,성동구,금호1가동,"6,461","16,853","8,204","8,649","16,684","8,133","8,551",169,71,98,2.58,"1,719"
2009.2/4,성동구,금호4가동,"6,459","15,810","7,822","7,988","15,536","7,692","7,844",274,130,144,2.41,"1,515"
2009.2/4,성동구,성수1가1동,"7,354","19,164","9,845","9,319","18,446","9,453","8,993",718,392,326,2.51,"1,418"
2009.2/4,성동구,성수1가2동,"8,179","19,533","9,875","9,658","19,231","9,736","9,495",302,139,163,2.35,"1,538"
2009.2/4,성동구,성수2가1동,"8,661","21,588","11,202","10,386","20,412","10,601","9,811","1,176",601,575,2.36,"1,760"
2009.2/4,성동구,성수2가3동,"5,214","12,474","6,395","6,079","12,097","6,162","5,935",377,233,144,2.32,"1,117"
2009.2/4,성동구,송정동,"5,682","13,069","6,869","6,200","12,540","6,640","5,900",529,229,300,2.21,"1,084"
2009.2/4,성동구,용답동,"7,453","18,275","9,435","8,840","17,236","8,942","8,294","1,039",493,546,2.31,"1,709"
2009.2/4,성동구,왕십리도선동,"5,823","14,356","7,236","7,120","13,576","6,871","6,705",780,365,415,2.33,"1,613"
2009.2/4,성동구,금호2.3가동,"9,179","23,034","11,169","11,865","22,752","11,048","11,704",282,121,161,2.48,"2,551"
2009.2/4,성동구,옥수동,"10,168","25,457","12,499","12,958","24,804","12,176","12,628",653,323,330,2.44,"2,780"
2009.2/4,광진구,소계,"155,949","387,637","191,605","196,032","375,070","185,756","189,314","12,567","5,849","6,718",2.41,"29,625"
2009.2/4,광진구,화양동,"12,060","23,816","11,632","12,184","21,275","10,448","10,827","2,541","1,184","1,357",1.76,"1,667"
2009.2/4,광진구,군자동,"10,037","22,594","11,372","11,222","21,846","11,005","10,841",748,367,381,2.18,"1,904"
2009.2/4,광진구,중곡1동,"7,553","17,832","8,799","9,033","17,081","8,477","8,604",751,322,429,2.26,"1,442"
