기간,구분,성별,합계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
2010,합계,계,"854,606","9,079","66,763","152,466","121,588","92,143","68,169","59,403","56,437","45,638","44,095","43,744","39,663","29,962","17,261","8,195"
2010,합계,남자,"404,576","4,122","25,372","76,885","71,145","55,174","40,547","34,083","29,042","19,987","15,626","12,993","9,715","5,489","2,767","1,629"
2010,합계,여자,"450,030","4,957","41,391","75,581","50,443","36,969","27,622","25,320","27,395","25,651","28,469","30,751","29,948","24,473","14,494","6,566"
2010,종로구,계,"18,156",331,"1,974","3,220","1,988","1,554","1,281","1,259","1,168","1,026",951,"1,079",916,750,427,232
2010,종로구,남자,8901,154,937,1754,1134,870,750,773,661,523,395,366,257,182,84,61
2010,종로구,여자,9255,177,1037,1466,854,684,531,486,507,503,556,713,659,568,343,171
2010,중구,계,13909,155,985,1743,1376,1291,1152,1159,1190,973,933,973,818,612,366,183
2010,중구,남자,6960,68,433,922,802,791,730,740,694,507,418,336,252,135,86,46
2010,중구,여자,6949,87,552,821,574,500,422,419,496,466,515,637,566,477,280,137
2010,용산구,계,25846,178,1425,4109,3834,3134,2298,1906,1689,1367,1276,1351,1400,1032,568,279
2010,용산구,남자,11844,53,344,1898,2139,1745,1291,1110,956,690,497,417,354,201,88,61
2010,용산구,여자,14002,125,1081,2211,1695,1389,1007,796,733,677,779,934,1046,831,480,218
2010,성동구,계,27041,370,2314,4442,3421,2911,2324,2038,1814,1431,1360,1452,1382,994,535,253
2010,성동구,남자,13762,187,1164,2569,2099,1788,1469,1269,1021,663,506,397,337,160,92,41
2010,성동구,여자,13279,183,1150,1873,1322,1123,855,769,793,768,854,1055,1045,834,443,212
2010,광진구,계,36411,500,3587,8510,5877,3710,2865,2359,2106,1516,1396,1274,1148,863,471,229
2010,광진구,남자,17326,219,1311,4145,3299,2246,1688,1336,1073,631,486,359,287,141,71,34
2010,광진구,여자,19085,281,2276,4365,2578,1464,1177,1023,1033,885,910,915,861,722,400,195
2010,동대문구,계,36897,787,4975,7073,4148,3008,2369,2238,2240,1924,1878,2093,1836,1356,667,305
2010,동대문구,남자,18719,342,2375,4238,2569,1925,1512,1344,1197,906,702,657,497,269,123,63
2010,동대문구,여자,18178,445,2600,2835,1579,1083,857,894,1043,1018,1176,1436,1339,1087,544,242
2010,중랑구,계,33324,157,1110,3862,3687,3435,3341,3314,3257,2508,2221,2150,1834,1314,792,342
2010,중랑구,남자,16322,65,391,1976,2200,2098,2110,2053,1812,1155,845,654,504,278,118,63
2010,중랑구,여자,17002,92,719,1886,1487,1337,1231,1261,1445,1353,1376,1496,1330,1036,674,279
2010,성북구,계,38652,936,5359,6385,4002,3433,2552,2438,2316,1989,2014,2263,2112,1586,897,370
2010,성북구,남자,17621,309,2095,3520,2392,2091,1516,1349,1139,822,680,684,502,302,132,88
2010,성북구,여자,21031,627,3264,2865,1610,1342,1036,1089,1177,1167,1334,1579,1610,1284,765,282
2010,강북구,계,26054,137,1047,2655,2614,2541,2236,2162,2270,2036,2036,2190,1918,1286,635,291
2010,강북구,남자,11415,50,314,1312,1496,1456,1340,1230,1150,882,682,640,471,242,87,63
2010,강북구,여자,14639,87,733,1343,1118,1085,896,932,1120,1154,1354,1550,1447,1044,548,228
2010,도봉구,계,21233,119,800,1868,2028,2148,1968,1820,1886,1575,1548,1612,1609,1247,718,287
2010,도봉구,남자,9133,49,199,869,1166,1276,1109,1006,920,684,577,470,391,230,129,58
2010,도봉구,여자,12100,70,601,999,862,872,859,814,966,891,971,1142,1218,1017,589,229
2010,노원구,계,34290,291,1761,3031,3327,3288,2652,2456,2754,2508,2635,2865,2674,2162,1242,644
2010,노원구,남자,13836,141,826,1510,1895,1865,1446,1237,1218,918,777,760,560,362,192,129
2010,노원구,여자,20454,150,935,1521,1432,1423,1206,1219,1536,1590,1858,2105,2114,1800,1050,515
2010,은평구,계,29795,97,807,3335,3597,3226,2650,2517,2452,2111,2254,2245,1978,1455,735,336
2010,은평구,남자,13060,38,285,1575,2018,1867,1477,1360,1163,907,772,609,516,264,137,72
2010,은평구,여자,16735,59,522,1760,1579,1359,1173,1157,1289,1204,1482,1636,1462,1191,598,264
