기간,자치구,동,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구
기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인이상가구
2010,합계,합계,"3,504,297","854,606","781,527","788,115","807,836","209,061","63,152"
2010,종로구,소계,"57,807","18,156","13,073","11,255","10,832","3,315","1,176"
2010,종로구,사직동,"3,442","1,033",865,720,585,180,59
2010,종로구,삼청동,"1,048",271,263,219,168,86,41
2010,종로구,부암동,"3,424",693,813,758,808,243,109
2010,종로구,평창동,"5,758",918,"1,338","1,423","1,429",462,188
2010,종로구,무악동,"2,715",482,620,654,701,198,60
2010,종로구,교남동,"3,156","1,032",767,620,531,149,57
2010,종로구,가회동,"1,855",507,469,369,345,114,51
2010,종로구,종로1.2.3.4가동,3086,1873,560,314,249,65,25
2010,종로구,종로5·6가동,1928,735,372,358,336,88,39
2010,종로구,이화동,3518,1345,796,593,567,172,45
2010,종로구,혜화동,4882,1983,1110,767,721,214,87
2010,종로구,명륜3가동,3045,1703,589,364,277,75,37
2010,종로구,창신1동,2449,982,573,400,362,104,28
2010,종로구,창신2동,3818,1040,875,775,806,251,71
2010,종로구,창신3동,2674,425,596,676,696,222,59
2010,종로구,숭인1동,2734,775,659,579,530,155,36
2010,종로구,숭인2동,3610,1432,811,615,545,161,46
2010,종로구,청운효자동,4665,927,997,1051,1176,376,138
2010,중구,소계,45656,13909,10957,9357,8229,2426,778
2010,중구,소공동,274,99,80,56,29,8,2
2010,중구,회현동,2096,1180,338,262,236,56,24
2010,중구,명동,969,505,205,118,88,36,17
2010,중구,필동,1356,446,316,295,219,67,13
2010,중구,장충동,2426,1158,570,291,274,109,24
2010,중구,광희동,1854,730,415,342,275,71,21
2010,중구,을지로동,767,546,111,52,37,18,3
2010,중구,신당1동,2872,1021,690,515,477,130,39
2010,중구,신당2동,5725,1391,1481,1297,1093,333,130
2010,중구,신당3동,7014,1570,1849,1752,1361,359,123
2010,중구,신당4동,5559,1195,1367,1263,1280,354,100
2010,중구,신당5동,2750,812,657,570,520,139,52
2010,중구,신당6동,2891,441,603,708,788,257,94
2010,중구,황학동,4661,1505,1177,947,755,223,54
2010,중구,중림동,4442,1310,1098,889,797,266,82
2010,용산구,소계,86470,25846,21376,17988,15721,4280,1259
2010,용산구,후암동,6606,1804,1562,1413,1331,367,129
2010,용산구,용산2가동,4722,1251,1240,1078,842,243,68
2010,용산구,남영동,3738,2287,652,386,284,97,32
2010,용산구,원효로2동,5271,1027,1228,1279,1328,317,92
2010,용산구,효창동,3788,749,962,869,858,252,98
2010,용산구,용문동,4379,800,1058,1166,979,288,88
2010,용산구,이촌1동,8475,1058,2055,2394,2321,515,132
2010,용산구,이촌2동,3360,617,846,851,787,206,53
2010,용산구,이태원1동,3174,1097,863,597,447,123,47
2010,용산구,이태원2동,3998,1239,1057,798,651,190,63
2010,용산구,서빙고동,3778,788,1040,871,811,222,46
2010,용산구,보광동,6939,2327,1796,1326,1087,316,87
2010,용산구,청파동,8813,3238,2052,1572,1390,432,129
2010,용산구,원효로1동,4045,1242,1066,850,655,176,56
2010,용산구,한강로동,6681,2935,1598,1060,837,201,50
2010,용산구,한남동,8703,3387,2301,1478,1113,335,89
2010,성동구,소계,107114,27041,25050,23471,23512,6070,1970
2010,성동구,왕십리2동,6346,1415,1385,1513,1506,387,140
2010,성동구,마장동,8403,1789,1882,1843,2138,566,185
2010,성동구,사근동,5493,3094,932,604,616,171,76
2010,성동구,행당1동,6434,1786,1586,1275,1315,355,117
2010,성동구,행당2동,8178,1059,1959,2181,2320,513,146
2010,성동구,응봉동,5552,829,1263,1463,1457,398,142
2010,성동구,금호1가동,5328,1036,1280,1288,1258,349,117
2010,성동구,금호4가동,5172,1033,1331,1306,1161,271,70
2010,성동구,성수1가1동,6322,1610,1359,1367,1522,360,104
2010,성동구,성수1가2동,6921,1918,1725,1443,1396,322,117
2010,성동구,성수2가1동,7314,2030,1617,1566,1555,420,126
2010,성동구,성수2가3동,4096,1076,908,884,897,242,89
2010,성동구,송정동,4941,1699,1127,910,919,214,72
2010,성동구,용답동,6228,1857,1519,1269,1192,304,87
2010,성동구,왕십리도선동,4578,1399,1072,867,878,268,94
2010,성동구,금호2.3가동,7469,1642,1865,1703,1648,459,152
2010,성동구,옥수동,8339,1769,2240,1989,1734,471,136
2010,광진구,소계,133468,36411,30313,28304,28981,7260,2199
2010,광진구,화양동,11981,6712,2696,1196,1009,300,68
2010,광진구,군자동,8932,3350,2125,1559,1430,355,113
2010,광진구,중곡1동,6236,1821,1564,1334,1142,280,95
2010,광진구,중곡2동,7716,1725,1827,1821,1759,443,141
2010,광진구,중곡3동,6857,1835,1610,1456,1473,376,107
2010,광진구,중곡4동,10333,1991,2295,2559,2601,666,221
2010,광진구,능동,4686,1848,1133,818,658,157,72
