기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2012.2/4,합계,합계,"4,187,283","10,498,693","5,190,917","5,307,776","10,232,281","5,062,494","5,169,787","266,412","128,423","137,989",2.44,"1,083,464"
2012.2/4,종로구,소계,"76,315","175,430","87,074","88,356","166,996","83,155","83,841","8,434","3,919","4,515",2.19,"23,472"
2012.2/4,종로구,사직동,"4,594","10,551","4,968","5,583","10,073","4,689","5,384",478,279,199,2.19,"1,590"
2012.2/4,종로구,삼청동,"1,588","3,535","1,717","1,818","3,371","1,621","1,750",164,96,68,2.12,615
2012.2/4,종로구,부암동,"4,582","11,473","5,659","5,814","11,267","5,564","5,703",206,95,111,2.46,"1,607"
2012.2/4,종로구,평창동,"7,398","19,892","9,530","10,362","19,600","9,391","10,209",292,139,153,2.65,"2,655"
2012.2/4,종로구,무악동,"3,231","8,604","4,099","4,505","8,550","4,080","4,470",54,19,35,2.65,"1,108"
2012.2/4,종로구,교남동,"4,423","9,122","4,496","4,626","8,933","4,419","4,514",189,77,112,2.02,"1,374"
2012.2/4,종로구,가회동,"2,413","5,535","2,644","2,891","5,424","2,597","2,827",111,47,64,2.25,863
2012.2/4,종로구,종로1.2.3.4가동,"5,269","9,036","5,164","3,872","7,965","4,572","3,393","1,071",592,479,1.51,"1,615"
2012.2/4,종로구,종로5·6가동,"3,167","6,467","3,462","3,005","6,121","3,313","2,808",346,149,197,1.93,946
2012.2/4,종로구,이화동,"4,562","9,637","4,623","5,014","9,126","4,389","4,737",511,234,277,2,"1,106"
2012.2/4,종로구,혜화동,"5,794","12,786","6,111","6,675","12,029","5,800","6,229",757,311,446,2.08,"1,433"
2012.2/4,종로구,명륜3가동,"3,492","7,216","3,674","3,542","6,223","3,266","2,957",993,408,585,1.78,879
2012.2/4,종로구,창신1동,"3,559","8,041","4,178","3,863","6,727","3,570","3,157","1,314",608,706,1.89,973
2012.2/4,종로구,창신2동,"4,996","12,194","6,152","6,042","11,319","5,760","5,559",875,392,483,2.27,"1,431"
2012.2/4,종로구,창신3동,"3,087","8,536","4,246","4,290","8,442","4,211","4,231",94,35,59,2.73,976
2012.2/4,종로구,숭인1동,"3,298","7,912","3,957","3,955","7,423","3,738","3,685",489,219,270,2.25,897
2012.2/4,종로구,숭인2동,"4,808","9,578","5,010","4,568","9,234","4,853","4,381",344,157,187,1.92,"1,369"
2012.2/4,종로구,청운효자동,"6,054","15,314","7,384","7,930","15,169","7,322","7,847",145,62,83,2.51,"2,035"
2012.2/4,종로구,기타,-,1,-,1,-,-,-,1,-,1,-,-
2012.2/4,중구,소계,"62,537","143,957","72,358","71,599","135,841","68,351","67,490","8,116","4,007","4,109",2.17,"18,777"
2012.2/4,중구,소공동,710,"1,747",985,762,"1,344",717,627,403,268,135,1.89,172
2012.2/4,중구,회현동,"3,564","6,616","3,605","3,011","5,853","3,196","2,657",763,409,354,1.64,"1,179"
2012.2/4,중구,명동,"1,694","4,166","2,041","2,125","3,421","1,547","1,874",745,494,251,2.02,624
2012.2/4,중구,필동,"2,459","5,105","2,733","2,372","4,615","2,496","2,119",490,237,253,1.88,722
2012.2/4,중구,장충동,"2,963","6,168","3,114","3,054","5,582","2,861","2,721",586,253,333,1.88,722
2012.2/4,중구,광희동,"3,104","6,581","3,425","3,156","5,647","3,019","2,628",934,406,528,1.82,930
2012.2/4,중구,을지로동,"1,404","2,142","1,320",822,"2,030","1,271",759,112,49,63,1.45,416
2012.2/4,중구,신당1동,"4,048","9,668","4,929","4,739","7,995","4,132","3,863","1,673",797,876,1.98,"1,098"
2012.2/4,중구,신당2동,"7,262","16,857","8,304","8,553","16,505","8,162","8,343",352,142,210,2.27,"2,061"
2012.2/4,중구,신당3동,"8,038","19,715","9,504","10,211","19,487","9,401","10,086",228,103,125,2.42,"2,717"
2012.2/4,중구,신당4동,"6,480","16,045","7,755","8,290","15,854","7,679","8,175",191,76,115,2.45,"2,064"
2012.2/4,중구,신당5동,"4,621","10,623","5,331","5,292","10,341","5,198","5,143",282,133,149,2.24,"1,290"
2012.2/4,중구,신당6동,"4,422","12,040","5,915","6,125","11,905","5,848","6,057",135,67,68,2.69,"1,370"
2012.2/4,중구,황학동,"5,829","13,315","6,730","6,585","12,404","6,304","6,100",911,426,485,2.13,"1,536"
2012.2/4,중구,중림동,"5,939","13,169","6,667","6,502","12,858","6,520","6,338",311,147,164,2.17,"1,876"
2012.2/4,용산구,소계,"111,459","257,194","125,640","131,554","244,770","119,232","125,538","12,424","6,408","6,016",2.2,"32,427"
2012.2/4,용산구,후암동,"9,116","20,649","10,320","10,329","20,101","10,063","10,038",548,257,291,2.21,"2,575"
2012.2/4,용산구,용산2가동,"6,086","14,037","6,884","7,153","12,992","6,271","6,721","1,045",613,432,2.13,"1,808"
2012.2/4,용산구,남영동,"5,124","8,227","4,865","3,362","7,751","4,649","3,102",476,216,260,1.51,"1,206"
2012.2/4,용산구,원효로2동,"6,020","15,898","7,594","8,304","15,693","7,511","8,182",205,83,122,2.61,"1,912"
2012.2/4,용산구,효창동,"4,475","11,555","5,661","5,894","11,398","5,597","5,801",157,64,93,2.55,"1,394"
2012.2/4,용산구,용문동,"5,177","13,367","6,559","6,808","13,208","6,483","6,725",159,76,83,2.55,"1,591"
2012.2/4,용산구,이촌1동,"9,898","28,465","13,458","15,007","27,029","12,653","14,376","1,436",805,631,2.73,"3,379"
2012.2/4,용산구,이촌2동,"4,344","10,481","5,021","5,460","10,424","4,998","5,426",57,23,34,2.4,"1,500"
2012.2/4,용산구,이태원1동,"4,482","10,155","4,844","5,311","8,503","3,907","4,596","1,652",937,715,1.9,"1,439"
2012.2/4,용산구,이태원2동,"5,387","11,819","5,584","6,235","11,053","5,149","5,904",766,435,331,2.05,"1,794"
2012.2/4,용산구,서빙고동,"5,592","14,575","7,034","7,541","14,198","6,863","7,335",377,171,206,2.54,"1,897"
2012.2/4,용산구,보광동,"8,597","18,550","9,056","9,494","17,642","8,575","9,067",908,481,427,2.05,"2,340"
2012.2/4,용산구,청파동,"11,567","24,228","11,551","12,677","23,222","11,197","12,025","1,006",354,652,2.01,"2,728"
2012.2/4,용산구,원효로1동,"5,625","12,849","6,401","6,448","12,564","6,264","6,300",285,137,148,2.23,"1,411"
2012.2/4,용산구,한강로동,"7,822","16,438","8,220","8,218","15,383","7,696","7,687","1,055",524,531,1.97,"2,360"
2012.2/4,용산구,한남동,"12,147","25,901","12,588","13,313","23,609","11,356","12,253","2,292","1,232","1,060",1.94,"3,093"
2012.2/4,성동구,소계,"125,689","307,436","153,851","153,585","299,683","150,117","149,566","7,753","3,734","4,019",2.38,"33,616"
2012.2/4,성동구,왕십리2동,"6,940","17,434","8,619","8,815","17,142","8,498","8,644",292,121,171,2.47,"1,859"
2012.2/4,성동구,마장동,"10,321","25,996","13,006","12,990","25,463","12,746","12,717",533,260,273,2.47,"2,864"
2012.2/4,성동구,사근동,"5,870","11,718","6,195","5,523","10,618","5,667","4,951","1,100",528,572,1.81,"1,254"
2012.2/4,성동구,행당1동,"7,611","18,249","8,986","9,263","17,757","8,766","8,991",492,220,272,2.33,"2,115"
2012.2/4,성동구,행당2동,"9,650","27,114","12,993","14,121","27,034","12,962","14,072",80,31,49,2.8,"2,719"
2012.2/4,성동구,응봉동,"6,502","17,591","8,480","9,111","17,527","8,455","9,072",64,25,39,2.7,"1,997"
2012.2/4,성동구,금호1가동,"6,301","16,229","7,931","8,298","16,091","7,877","8,214",138,54,84,2.55,"1,925"
2012.2/4,성동구,금호4가동,"5,816","14,142","6,976","7,166","13,942","6,881","7,061",200,95,105,2.4,"1,593"
2012.2/4,성동구,성수1가1동,"7,401","18,804","9,636","9,168","18,257","9,339","8,918",547,297,250,2.47,"1,662"
2012.2/4,성동구,성수1가2동,"8,182","19,042","9,653","9,389","18,650","9,463","9,187",392,190,202,2.28,"1,759"
2012.2/4,성동구,성수2가1동,"9,148","21,732","11,300","10,432","20,757","10,820","9,937",975,480,495,2.27,"2,101"
2012.2/4,성동구,성수2가3동,"5,346","12,388","6,482","5,906","12,001","6,242","5,759",387,240,147,2.24,"1,333"
2012.2/4,성동구,송정동,"5,617","12,829","6,733","6,096","12,204","6,445","5,759",625,288,337,2.17,"1,248"
2012.2/4,성동구,용답동,"7,704","17,786","9,331","8,455","16,734","8,841","7,893","1,052",490,562,2.17,"1,950"
2012.2/4,성동구,왕십리도선동,"5,777","13,203","6,547","6,656","12,869","6,396","6,473",334,151,183,2.23,"1,783"
2012.2/4,성동구,금호2.3가동,"8,849","21,839","10,617","11,222","21,619","10,511","11,108",220,106,114,2.44,"2,749"
2012.2/4,성동구,옥수동,"8,654","21,334","10,364","10,970","21,018","10,208","10,810",316,156,160,2.43,"2,705"
2012.2/4,성동구,기타,-,6,2,4,-,-,-,6,2,4,-,-
2012.2/4,광진구,소계,"158,447","385,970","190,410","195,560","371,789","183,921","187,868","14,181","6,489","7,692",2.35,"34,806"
2012.2/4,광진구,화양동,"12,919","24,149","11,815","12,334","21,136","10,469","10,667","3,013","1,346","1,667",1.64,"1,895"
2012.2/4,광진구,군자동,"10,218","22,353","11,274","11,079","21,447","10,822","10,625",906,452,454,2.1,"2,174"
2012.2/4,광진구,중곡1동,"7,698","17,396","8,621","8,775","16,744","8,345","8,399",652,276,376,2.18,"1,733"
2012.2/4,광진구,중곡2동,"9,644","23,175","11,394","11,781","22,978","11,311","11,667",197,83,114,2.38,"2,061"
2012.2/4,광진구,중곡3동,"8,201","19,190","9,653","9,537","18,992","9,572","9,420",198,81,117,2.32,"1,861"
2012.2/4,광진구,중곡4동,"12,639","32,254","16,025","16,229","32,089","15,968","16,121",165,57,108,2.54,"3,201"
2012.2/4,광진구,능동,"5,497","11,312","5,368","5,944","11,025","5,239","5,786",287,129,158,2.01,"1,155"
2012.2/4,광진구,구의1동,"10,844","23,705","11,436","12,269","22,760","11,017","11,743",945,419,526,2.1,"2,192"
2012.2/4,광진구,구의2동,"10,782","27,553","13,611","13,942","27,225","13,505","13,720",328,106,222,2.53,"2,787"
2012.2/4,광진구,구의3동,"11,485","30,174","14,724","15,450","29,909","14,604","15,305",265,120,145,2.6,"2,580"
2012.2/4,광진구,광장동,"11,805","36,552","17,854","18,698","36,319","17,740","18,579",233,114,119,3.08,"2,722"
2012.2/4,광진구,자양1동,"11,182","26,996","13,291","13,705","24,370","12,050","12,320","2,626","1,241","1,385",2.18,"2,453"
2012.2/4,광진구,자양2동,"11,494","29,268","14,612","14,656","28,970","14,481","14,489",298,131,167,2.52,"2,564"
2012.2/4,광진구,자양3동,"11,640","32,455","15,863","16,592","32,045","15,676","16,369",410,187,223,2.75,"2,567"
2012.2/4,광진구,자양4동,"12,399","29,438","14,869","14,569","25,780","13,122","12,658","3,658","1,747","1,911",2.08,"2,861"
2012.2/4,동대문구,소계,"158,277","378,064","189,272","188,792","365,353","183,883","181,470","12,711","5,389","7,322",2.31,"45,752"
2012.2/4,동대문구,회기동,"5,806","12,656","6,010","6,646","11,168","5,423","5,745","1,488",587,901,1.92,"1,288"
2012.2/4,동대문구,휘경1동,"8,163","18,152","9,001","9,151","16,959","8,516","8,443","1,193",485,708,2.08,"2,098"
2012.2/4,동대문구,휘경2동,"10,619","26,397","12,999","13,398","26,050","12,858","13,192",347,141,206,2.45,"2,685"
2012.2/4,동대문구,청량리동,"10,925","25,643","12,849","12,794","24,637","12,362","12,275","1,006",487,519,2.26,"4,207"
2012.2/4,동대문구,용신동,"15,915","33,800","17,506","16,294","32,281","16,814","15,467","1,519",692,827,2.03,"4,685"
2012.2/4,동대문구,제기동,"13,165","29,712","15,049","14,663","28,144","14,377","13,767","1,568",672,896,2.14,"4,190"
2012.2/4,동대문구,전농1동,"12,796","27,618","14,184","13,434","27,077","13,952","13,125",541,232,309,2.12,"4,036"
2012.2/4,동대문구,전농2동,"7,762","21,685","10,560","11,125","21,465","10,491","10,974",220,69,151,2.77,"2,627"
2012.2/4,동대문구,답십리1동,"8,723","20,806","10,423","10,383","20,314","10,212","10,102",492,211,281,2.33,"2,609"
2012.2/4,동대문구,답십리2동,"12,245","32,408","16,065","16,343","32,157","15,960","16,197",251,105,146,2.63,"3,853"
2012.2/4,동대문구,장안1동,"14,915","38,265","19,199","19,066","37,384","18,828","18,556",881,371,510,2.51,"3,850"
2012.2/4,동대문구,장안2동,"12,935","33,113","16,746","16,367","32,870","16,656","16,214",243,90,153,2.54,"3,296"
2012.2/4,동대문구,이문1동,"15,553","34,157","16,920","17,237","31,688","15,888","15,800","2,469","1,032","1,437",2.04,"3,791"
2012.2/4,동대문구,이문2동,"8,755","23,652","11,761","11,891","23,159","11,546","11,613",493,215,278,2.65,"2,537"
2012.2/4,중랑구,소계,"174,475","426,246","212,951","213,295","421,422","211,051","210,371","4,824","1,900","2,924",2.42,"45,269"
2012.2/4,중랑구,면목2동,"12,047","28,645","14,453","14,192","28,080","14,191","13,889",565,262,303,2.33,"2,933"
2012.2/4,중랑구,면목4동,"9,928","22,909","11,305","11,604","22,686","11,220","11,466",223,85,138,2.29,"2,447"
2012.2/4,중랑구,면목5동,"6,133","14,474","7,405","7,069","14,295","7,353","6,942",179,52,127,2.33,"1,562"
2012.2/4,중랑구,면목7동,"10,741","26,141","13,053","13,088","25,923","12,980","12,943",218,73,145,2.41,"2,827"
2012.2/4,중랑구,상봉1동,"9,296","26,004","12,848","13,156","25,721","12,734","12,987",283,114,169,2.77,"2,432"
2012.2/4,중랑구,상봉2동,"9,259","18,968","9,643","9,325","18,710","9,530","9,180",258,113,145,2.02,"2,152"
2012.2/4,중랑구,중화1동,"8,340","22,059","10,938","11,121","21,655","10,773","10,882",404,165,239,2.6,"2,096"
2012.2/4,중랑구,중화2동,"14,501","31,290","16,110","15,180","30,795","15,912","14,883",495,198,297,2.12,"3,687"
2012.2/4,중랑구,묵1동,"13,623","36,159","17,772","18,387","35,895","17,660","18,235",264,112,152,2.63,"3,754"
2012.2/4,중랑구,묵2동,"8,402","20,191","10,056","10,135","20,052","10,016","10,036",139,40,99,2.39,"2,261"
2012.2/4,중랑구,망우3동,"8,323","19,460","9,796","9,664","19,305","9,744","9,561",155,52,103,2.32,"2,126"
2012.2/4,중랑구,신내1동,"10,988","32,391","15,949","16,442","32,201","15,861","16,340",190,88,102,2.93,"3,298"
2012.2/4,중랑구,신내2동,"9,290","25,417","12,396","13,021","25,326","12,359","12,967",91,37,54,2.73,"2,516"
2012.2/4,중랑구,면목본동,"16,224","37,353","18,653","18,700","36,641","18,386","18,255",712,267,445,2.26,"3,893"
2012.2/4,중랑구,면목3.8동,"12,793","29,932","14,990","14,942","29,662","14,890","14,772",270,100,170,2.32,"3,394"
2012.2/4,중랑구,망우본동,"14,587","34,853","17,584","17,269","34,475","17,442","17,033",378,142,236,2.36,"3,891"
2012.2/4,성북구,소계,"198,707","492,771","242,533","250,238","483,899","238,749","245,150","8,872","3,784","5,088",2.44,"56,763"
2012.2/4,성북구,돈암1동,"6,304","16,870","8,139","8,731","16,685","8,066","8,619",185,73,112,2.65,"1,989"
2012.2/4,성북구,돈암2동,"7,988","23,583","11,392","12,191","23,502","11,360","12,142",81,32,49,2.94,"2,310"
2012.2/4,성북구,안암동,"8,840","18,464","9,278","9,186","16,897","8,589","8,308","1,567",689,878,1.91,"1,875"
2012.2/4,성북구,보문동,"6,775","14,628","7,229","7,399","14,278","7,101","7,177",350,128,222,2.11,"1,773"
2012.2/4,성북구,정릉1동,"7,631","20,790","10,029","10,761","20,288","9,825","10,463",502,204,298,2.66,"2,356"
2012.2/4,성북구,정릉2동,"9,558","24,737","12,265","12,472","24,619","12,219","12,400",118,46,72,2.58,"3,017"
2012.2/4,성북구,정릉3동,"7,972","18,653","9,303","9,350","17,885","8,939","8,946",768,364,404,2.24,"2,554"
2012.2/4,성북구,정릉4동,"10,906","28,280","13,899","14,381","28,084","13,810","14,274",196,89,107,2.58,"3,310"
2012.2/4,성북구,길음1동,"12,874","37,472","18,228","19,244","37,204","18,122","19,082",268,106,162,2.89,"3,250"
2012.2/4,성북구,길음2동,"9,051","21,005","10,340","10,665","20,781","10,254","10,527",224,86,138,2.3,"2,558"
2012.2/4,성북구,월곡1동,"11,064","29,408","14,545","14,863","29,094","14,413","14,681",314,132,182,2.63,"3,239"
2012.2/4,성북구,월곡2동,"8,827","21,854","10,768","11,086","21,573","10,641","10,932",281,127,154,2.44,"2,622"
2012.2/4,성북구,장위1동,"10,399","26,618","13,229","13,389","26,221","13,079","13,142",397,150,247,2.52,"3,073"
2012.2/4,성북구,장위2동,"9,480","23,221","11,743","11,478","23,021","11,666","11,355",200,77,123,2.43,"2,950"
2012.2/4,성북구,장위3동,"7,962","19,505","9,953","9,552","19,270","9,855","9,415",235,98,137,2.42,"2,453"
2012.2/4,성북구,성북동,"8,716","19,807","9,482","10,325","19,213","9,230","9,983",594,252,342,2.2,"2,765"
2012.2/4,성북구,삼선동,"12,477","28,560","13,972","14,588","27,907","13,676","14,231",653,296,357,2.24,"3,369"
2012.2/4,성북구,동선동,"8,478","16,776","7,530","9,246","16,289","7,314","8,975",487,216,271,1.92,"1,975"
2012.2/4,성북구,종암동,"17,517","43,955","21,846","22,109","43,225","21,538","21,687",730,308,422,2.47,"4,731"
2012.2/4,성북구,석관동,"15,888","38,584","19,362","19,222","37,863","19,052","18,811",721,310,411,2.38,"4,594"
2012.2/4,성북구,기타,-,1,1,-,-,-,-,1,1,-,-,-
2012.2/4,강북구,소계,"142,802","348,912","172,267","176,645","345,350","170,938","174,412","3,562","1,329","2,233",2.42,"45,022"
2012.2/4,강북구,번1동,"9,698","21,222","10,510","10,712","20,818","10,358","10,460",404,152,252,2.15,"2,549"
2012.2/4,강북구,번2동,"8,010","20,014","9,851","10,163","19,922","9,833","10,089",92,18,74,2.49,"2,755"
2012.2/4,강북구,번3동,"7,851","21,482","10,416","11,066","21,413","10,397","11,016",69,19,50,2.73,"3,324"
2012.2/4,강북구,수유1동,"9,988","23,802","11,981","11,821","23,409","11,838","11,571",393,143,250,2.34,"3,073"
2012.2/4,강북구,수유2동,"9,259","23,505","11,599","11,906","23,389","11,572","11,817",116,27,89,2.53,"3,348"
2012.2/4,강북구,수유3동,"11,029","24,326","12,070","12,256","23,974","11,926","12,048",352,144,208,2.17,"3,235"
2012.2/4,강북구,삼양동,"13,204","32,149","16,062","16,087","32,000","16,013","15,987",149,49,100,2.42,"3,877"
2012.2/4,강북구,미아동,"10,582","25,128","12,353","12,775","23,974","11,899","12,075","1,154",454,700,2.27,"3,048"
2012.2/4,강북구,송중동,"14,390","35,016","17,107","17,909","34,765","17,006","17,759",251,101,150,2.42,"4,438"
2012.2/4,강북구,송천동,"14,209","32,490","16,250","16,240","32,275","16,153","16,122",215,97,118,2.27,"4,359"
2012.2/4,강북구,삼각산동,"11,897","34,204","16,696","17,508","34,151","16,678","17,473",53,18,35,2.87,"2,816"
2012.2/4,강북구,우이동,"8,863","21,729","10,774","10,955","21,602","10,726","10,876",127,48,79,2.44,"3,368"
2012.2/4,강북구,인수동,"13,822","33,845","16,598","17,247","33,658","16,539","17,119",187,59,128,2.44,"4,832"
2012.2/4,도봉구,소계,"138,263","365,875","180,749","185,126","363,565","179,862","183,703","2,310",887,"1,423",2.63,"41,086"
2012.2/4,도봉구,쌍문1동,"8,589","22,447","10,980","11,467","22,170","10,890","11,280",277,90,187,2.58,"2,951"
2012.2/4,도봉구,쌍문2동,"8,520","21,855","10,742","11,113","21,739","10,689","11,050",116,53,63,2.55,"2,564"
2012.2/4,도봉구,쌍문3동,"7,664","18,868","9,230","9,638","18,738","9,187","9,551",130,43,87,2.44,"2,336"
2012.2/4,도봉구,쌍문4동,"7,476","21,698","10,498","11,200","21,655","10,483","11,172",43,15,28,2.9,"1,968"
2012.2/4,도봉구,방학1동,"12,343","32,424","16,254","16,170","32,102","16,124","15,978",322,130,192,2.6,"3,460"
2012.2/4,도봉구,방학2동,"9,771","24,152","12,234","11,918","23,967","12,182","11,785",185,52,133,2.45,"2,828"
2012.2/4,도봉구,방학3동,"10,849","32,266","15,856","16,410","32,199","15,830","16,369",67,26,41,2.97,"3,045"
2012.2/4,도봉구,창1동,"10,862","28,848","14,048","14,800","28,540","13,903","14,637",308,145,163,2.63,"3,110"
2012.2/4,도봉구,창2동,"11,911","31,851","15,731","16,120","31,623","15,619","16,004",228,112,116,2.65,"3,191"
2012.2/4,도봉구,창3동,"6,573","15,969","8,030","7,939","15,887","8,005","7,882",82,25,57,2.42,"1,882"
2012.2/4,도봉구,창4동,"11,069","30,939","15,020","15,919","30,881","15,001","15,880",58,19,39,2.79,"2,900"
2012.2/4,도봉구,창5동,"10,092","28,027","13,769","14,258","27,871","13,702","14,169",156,67,89,2.76,"2,775"
2012.2/4,도봉구,도봉1동,"10,581","24,903","12,663","12,240","24,672","12,583","12,089",231,80,151,2.33,"3,864"
2012.2/4,도봉구,도봉2동,"11,963","31,628","15,694","15,934","31,521","15,664","15,857",107,30,77,2.63,"4,212"
2012.2/4,노원구,소계,"224,230","605,162","296,008","309,154","601,241","294,317","306,924","3,921","1,691","2,230",2.68,"60,072"
2012.2/4,노원구,월계1동,"9,626","24,140","12,318","11,822","23,516","12,024","11,492",624,294,330,2.44,"2,789"
2012.2/4,노원구,월계2동,"12,428","31,089","15,181","15,908","30,899","15,088","15,811",190,93,97,2.49,"3,792"
2012.2/4,노원구,월계3동,"13,583","36,236","17,676","18,560","36,109","17,632","18,477",127,44,83,2.66,"3,918"
2012.2/4,노원구,공릉2동,"17,398","47,452","23,681","23,771","46,782","23,379","23,403",670,302,368,2.69,"3,739"
2012.2/4,노원구,하계1동,"11,337","30,874","14,964","15,910","30,724","14,883","15,841",150,81,69,2.71,"3,107"
