기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2014.2/4,합계,합계,"4,189,495","10,383,651","5,120,271","5,263,380","10,129,223","4,996,391","5,132,832","254,428","123,880","130,548",2.42,"1,193,827"
2014.2/4,종로구,소계,"73,629","166,665","82,355","84,310","158,821","78,678","80,143","7,844","3,677","4,167",2.16,"24,265"
2014.2/4,종로구,사직동,"4,441","10,172","4,800","5,372","9,816","4,603","5,213",356,197,159,2.21,"1,653"
2014.2/4,종로구,삼청동,"1,490","3,263","1,589","1,674","3,129","1,505","1,624",134,84,50,2.1,643
2014.2/4,종로구,부암동,"4,548","11,386","5,552","5,834","11,016","5,392","5,624",370,160,210,2.42,"1,693"
2014.2/4,종로구,평창동,"7,371","19,698","9,383","10,315","19,487","9,279","10,208",211,104,107,2.64,"2,862"
2014.2/4,종로구,무악동,"3,206","8,579","4,051","4,528","8,519","4,027","4,492",60,24,36,2.66,"1,208"
2014.2/4,종로구,교남동,"2,519","5,191","2,524","2,667","5,094","2,479","2,615",97,45,52,2.02,827
2014.2/4,종로구,가회동,"2,303","5,236","2,442","2,794","5,106","2,380","2,726",130,62,68,2.22,884
2014.2/4,종로구,종로1.2.3.4가동,"5,486","8,937","5,132","3,805","7,997","4,572","3,425",940,560,380,1.46,"1,731"
2014.2/4,종로구,종로5·6가동,"3,120","6,171","3,334","2,837","5,853","3,189","2,664",318,145,173,1.88,"1,057"
2014.2/4,종로구,이화동,"4,553","9,399","4,451","4,948","8,956","4,263","4,693",443,188,255,1.97,"1,157"
2014.2/4,종로구,창신1동,"3,324","7,184","3,784","3,400","6,263","3,336","2,927",921,448,473,1.88,"1,041"
2014.2/4,종로구,창신2동,"4,662","11,510","5,807","5,703","10,430","5,298","5,132","1,080",509,571,2.24,"1,518"
2014.2/4,종로구,창신3동,"3,015","8,173","4,110","4,063","8,046","4,044","4,002",127,66,61,2.67,"1,015"
2014.2/4,종로구,숭인1동,"3,213","7,427","3,737","3,690","7,089","3,573","3,516",338,164,174,2.21,951
2014.2/4,종로구,숭인2동,"5,315","10,054","5,157","4,897","9,651","4,982","4,669",403,175,228,1.82,"1,473"
2014.2/4,종로구,청운효자동,"5,880","14,624","6,977","7,647","14,507","6,925","7,582",117,52,65,2.47,"2,094"
2014.2/4,종로구,혜화동,"9,183","19,661","9,525","10,136","17,862","8,831","9,031","1,799",694,"1,105",1.95,"2,458"
2014.2/4,중구,소계,"60,267","137,122","68,506","68,616","129,430","64,745","64,685","7,692","3,761","3,931",2.15,"19,640"
2014.2/4,중구,소공동,658,"1,784",978,806,"1,289",679,610,495,299,196,1.96,181
2014.2/4,중구,회현동,"3,600","6,580","3,542","3,038","5,910","3,191","2,719",670,351,319,1.64,"1,273"
2014.2/4,중구,명동,"1,535","3,739","1,711","2,028","3,178","1,387","1,791",561,324,237,2.07,633
2014.2/4,중구,필동,"2,440","4,890","2,538","2,352","4,479","2,341","2,138",411,197,214,1.84,750
2014.2/4,중구,장충동,"2,942","6,281","3,158","3,123","5,468","2,832","2,636",813,326,487,1.86,775
2014.2/4,중구,광희동,"2,890","6,003","3,179","2,824","5,229","2,798","2,431",774,381,393,1.81,976
2014.2/4,중구,을지로동,"1,275","1,969","1,197",772,"1,849","1,141",708,120,56,64,1.45,435
2014.2/4,중구,신당5동,"4,671","10,664","5,376","5,288","10,346","5,245","5,101",318,131,187,2.21,"1,428"
2014.2/4,중구,황학동,"6,005","13,243","6,667","6,576","12,375","6,243","6,132",868,424,444,2.06,"1,629"
2014.2/4,중구,중림동,"4,551","9,729","4,946","4,783","9,447","4,802","4,645",282,144,138,2.08,"1,542"
2014.2/4,중구,신당동,"3,913","8,883","4,541","4,342","7,534","3,888","3,646","1,349",653,696,1.93,"1,192"
2014.2/4,중구,다산동,"7,095","16,433","8,038","8,395","16,021","7,856","8,165",412,182,230,2.26,"2,218"
2014.2/4,중구,약수동,"7,891","19,199","9,245","9,954","18,950","9,120","9,830",249,125,124,2.4,"2,916"
2014.2/4,중구,청구동,"6,481","15,713","7,576","8,137","15,518","7,490","8,028",195,86,109,2.39,"2,226"
2014.2/4,중구,동화동,"4,320","12,012","5,814","6,198","11,837","5,732","6,105",175,82,93,2.74,"1,466"
2014.2/4,용산구,소계,"109,019","250,922","122,560","128,362","238,523","115,857","122,666","12,399","6,703","5,696",2.19,"34,366"
2014.2/4,용산구,후암동,"8,757","19,860","9,848","10,012","19,392","9,616","9,776",468,232,236,2.21,"2,696"
2014.2/4,용산구,용산2가동,"5,854","13,420","6,627","6,793","12,285","5,953","6,332","1,135",674,461,2.1,"1,904"
2014.2/4,용산구,남영동,"5,286","8,446","5,106","3,340","7,981","4,876","3,105",465,230,235,1.51,"1,344"
2014.2/4,용산구,원효로2동,"6,009","15,795","7,439","8,356","15,643","7,385","8,258",152,54,98,2.6,"2,048"
2014.2/4,용산구,효창동,"4,454","11,391","5,534","5,857","11,248","5,474","5,774",143,60,83,2.53,"1,520"
2014.2/4,용산구,용문동,"5,162","13,051","6,350","6,701","12,903","6,279","6,624",148,71,77,2.5,"1,720"
2014.2/4,용산구,이촌1동,"9,716","28,099","13,181","14,918","26,858","12,484","14,374","1,241",697,544,2.76,"3,587"
2014.2/4,용산구,이촌2동,"4,198","9,971","4,793","5,178","9,898","4,765","5,133",73,28,45,2.36,"1,578"
2014.2/4,용산구,이태원1동,"4,322","9,562","4,699","4,863","8,099","3,786","4,313","1,463",913,550,1.87,"1,465"
2014.2/4,용산구,이태원2동,"5,274","11,635","5,506","6,129","10,651","4,934","5,717",984,572,412,2.02,"1,856"
2014.2/4,용산구,서빙고동,"5,356","14,231","6,842","7,389","13,809","6,643","7,166",422,199,223,2.58,"1,919"
2014.2/4,용산구,보광동,"8,370","17,811","8,731","9,080","16,897","8,225","8,672",914,506,408,2.02,"2,468"
2014.2/4,용산구,청파동,"11,118","23,152","11,048","12,104","22,238","10,725","11,513",914,323,591,2,"2,936"
2014.2/4,용산구,원효로1동,"5,929","13,485","6,643","6,842","13,153","6,471","6,682",332,172,160,2.22,"1,521"
2014.2/4,용산구,한강로동,"7,647","16,242","8,189","8,053","15,005","7,505","7,500","1,237",684,553,1.96,"2,577"
2014.2/4,용산구,한남동,"11,567","24,771","12,024","12,747","22,463","10,736","11,727","2,308","1,288","1,020",1.94,"3,227"
2014.2/4,성동구,소계,"126,698","306,692","152,647","154,045","299,328","149,082","150,246","7,364","3,565","3,799",2.36,"36,085"
2014.2/4,성동구,왕십리2동,"6,876","16,924","8,339","8,585","16,630","8,203","8,427",294,136,158,2.42,"2,002"
2014.2/4,성동구,마장동,"10,404","25,391","12,590","12,801","24,812","12,332","12,480",579,258,321,2.38,"3,014"
2014.2/4,성동구,사근동,"5,939","11,586","6,043","5,543","10,395","5,485","4,910","1,191",558,633,1.75,"1,305"
2014.2/4,성동구,행당1동,"7,478","17,652","8,686","8,966","17,192","8,480","8,712",460,206,254,2.3,"2,253"
2014.2/4,성동구,행당2동,"9,505","26,531","12,645","13,886","26,437","12,607","13,830",94,38,56,2.78,"2,905"
2014.2/4,성동구,응봉동,"6,369","17,225","8,222","9,003","17,167","8,205","8,962",58,17,41,2.7,"2,167"
2014.2/4,성동구,금호1가동,"5,589","14,324","6,968","7,356","14,221","6,927","7,294",103,41,62,2.54,"1,905"
2014.2/4,성동구,금호4가동,"6,227","15,202","7,370","7,832","15,018","7,286","7,732",184,84,100,2.41,"1,781"
2014.2/4,성동구,성수1가1동,"7,155","17,965","9,137","8,828","17,542","8,894","8,648",423,243,180,2.45,"1,808"
2014.2/4,성동구,성수1가2동,"7,994","18,438","9,372","9,066","18,014","9,154","8,860",424,218,206,2.25,"1,899"
2014.2/4,성동구,성수2가1동,"8,942","20,821","10,855","9,966","19,994","10,458","9,536",827,397,430,2.24,"2,285"
2014.2/4,성동구,성수2가3동,"5,485","12,497","6,524","5,973","12,077","6,266","5,811",420,258,162,2.2,"1,460"
2014.2/4,성동구,송정동,"5,601","12,443","6,559","5,884","11,942","6,319","5,623",501,240,261,2.13,"1,341"
