기간,자치구,동,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구
기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상 가구
2015,합계,합계,"3,784,490","1,115,744","930,467","817,440","701,945","169,436","38,547","10,911"
2015,종로구,소계,"61,580","22,776","15,314","11,272","8,840","2,535",628,215
2015,종로구,사직동,"3,562","1,125","1,006",731,500,145,40,15
2015,종로구,삼청동,"1,092",363,296,214,151,45,14,9
2015,종로구,부암동,"3,841",995,"1,082",836,660,190,53,25
2015,종로구,평창동,"6,310","1,252","1,709","1,573","1,248",388,105,35
2015,종로구,무악동,"2,823",508,698,734,692,153,29,9
2015,종로구,교남동,"1,888",653,523,339,288,66,15,X
2015,종로구,가회동,1843,590,507,371,261,90,18,6
2015,종로구,종로1.2.3.4가동,3733,2299,820,321,208,56,18,11
2015,종로구,종로5·6가동,2376,1100,597,335,258,73,10,X
2015,종로구,이화동,3981,1880,907,581,453,121,30,9
2015,종로구,창신1동,2465,1029,641,413,267,97,15,X
2015,종로구,창신2동,3774,1211,997,731,606,174,41,14
2015,종로구,창신3동,2635,508,714,691,506,169,37,10
2015,종로구,숭인1동,2740,931,734,522,408,108,29,8
2015,종로구,숭인2동,4478,2206,1080,598,450,113,21,10
2015,종로구,청운효자동,4920,1232,1258,1104,965,260,79,22
2015,종로구,혜화동,9119,4894,1745,1178,919,287,74,22
2015,중구,소계,51205,19161,13157,9392,6987,1879,483,146
2015,중구,소공동,517,263,122,76,41,9,6,X
2015,중구,회현동,2343,1174,575,313,208,51,17,5
2015,중구,명동,1191,657,257,158,93,19,5,X
2015,중구,필동,2168,1199,472,264,167,46,15,5
2015,중구,장충동,2675,1403,597,347,225,81,16,6
2015,중구,광희동,2269,1133,561,293,215,51,13,X
2015,중구,을지로동,914,589,209,64,37,13,X,X
2015,중구,신당5동,4143,1492,1041,781,596,184,37,12
2015,중구,황학동,5301,2128,1360,926,656,176,43,12
