기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2017.3/4,합계,합계,"4,219,001","10,158,411","4,975,437","5,182,974","9,891,448","4,849,195","5,042,253","266,963","126,242","140,721",2.34,"1,353,486"
2017.3/4,종로구,소계,"73,668","164,640","80,173","84,467","155,109","76,155","78,954","9,531","4,018","5,513",2.11,"26,034"
2017.3/4,종로구,사직동,"4,394","9,687","4,421","5,266","9,406","4,273","5,133",281,148,133,2.14,"1,723"
2017.3/4,종로구,삼청동,"1,432","3,137","1,488","1,649","2,940","1,387","1,553",197,101,96,2.05,641
2017.3/4,종로구,부암동,"4,337","10,797","5,208","5,589","10,348","5,020","5,328",449,188,261,2.39,"1,738"
2017.3/4,종로구,평창동,"7,538","19,233","9,083","10,150","19,067","9,004","10,063",166,79,87,2.53,"3,022"
2017.3/4,종로구,무악동,"3,011","8,360","3,910","4,450","8,306","3,886","4,420",54,24,30,2.76,"1,253"
2017.3/4,종로구,교남동,"4,199","9,954","4,663","5,291","9,841","4,613","5,228",113,50,63,2.34,"1,369"
2017.3/4,종로구,가회동,"2,104","4,713","2,205","2,508","4,582","2,138","2,444",131,67,64,2.18,898
2017.3/4,종로구,종로1.2.3.4가동,"5,388","8,571","5,039","3,532","7,588","4,518","3,070",983,521,462,1.41,"1,840"
2017.3/4,종로구,종로5·6가동,"3,203","5,733","3,120","2,613","5,418","2,986","2,432",315,134,181,1.69,"1,092"
2017.3/4,종로구,이화동,"4,468","8,794","4,069","4,725","8,294","3,880","4,414",500,189,311,1.86,"1,309"
2017.3/4,종로구,창신1동,"3,080","6,354","3,400","2,954","5,612","3,033","2,579",742,367,375,1.82,"1,125"
2017.3/4,종로구,창신2동,"4,299","10,338","5,185","5,153","9,244","4,698","4,546","1,094",487,607,2.15,"1,628"
2017.3/4,종로구,창신3동,"2,875","7,546","3,744","3,802","7,369","3,657","3,712",177,87,90,2.56,"1,078"
