,기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인이상가구
1,2010,합계,합계,3504297.0,854606.0,781527.0,788115.0,807836.0,209061.0,63152.0
3,2010,종로구,사직동,3442.0,1033.0,865.0,720.0,585.0,180.0,59.0
4,2010,종로구,삼청동,1048.0,271.0,263.0,219.0,168.0,86.0,41.0
5,2010,종로구,부암동,3424.0,693.0,813.0,758.0,808.0,243.0,109.0
6,2010,종로구,평창동,5758.0,918.0,1338.0,1423.0,1429.0,462.0,188.0
7,2010,종로구,무악동,2715.0,482.0,620.0,654.0,701.0,198.0,60.0
8,2010,종로구,교남동,3156.0,1032.0,767.0,620.0,531.0,149.0,57.0
9,2010,종로구,가회동,1855.0,507.0,469.0,369.0,345.0,114.0,51.0
10,2010,종로구,종로1.2.3.4가동,3086.0,1873.0,560.0,314.0,249.0,65.0,25.0
11,2010,종로구,종로5·6가동,1928.0,735.0,372.0,358.0,336.0,88.0,39.0
12,2010,종로구,이화동,3518.0,1345.0,796.0,593.0,567.0,172.0,45.0
13,2010,종로구,혜화동,4882.0,1983.0,1110.0,767.0,721.0,214.0,87.0
14,2010,종로구,명륜3가동,3045.0,1703.0,589.0,364.0,277.0,75.0,37.0
15,2010,종로구,창신1동,2449.0,982.0,573.0,400.0,362.0,104.0,28.0
16,2010,종로구,창신2동,3818.0,1040.0,875.0,775.0,806.0,251.0,71.0
17,2010,종로구,창신3동,2674.0,425.0,596.0,676.0,696.0,222.0,59.0
18,2010,종로구,숭인1동,2734.0,775.0,659.0,579.0,530.0,155.0,36.0
19,2010,종로구,숭인2동,3610.0,1432.0,811.0,615.0,545.0,161.0,46.0
20,2010,종로구,청운효자동,4665.0,927.0,997.0,1051.0,1176.0,376.0,138.0
22,2010,중구,소공동,274.0,99.0,80.0,56.0,29.0,8.0,2.0
23,2010,중구,회현동,2096.0,1180.0,338.0,262.0,236.0,56.0,24.0
24,2010,중구,명동,969.0,505.0,205.0,118.0,88.0,36.0,17.0
25,2010,중구,필동,1356.0,446.0,316.0,295.0,219.0,67.0,13.0
26,2010,중구,장충동,2426.0,1158.0,570.0,291.0,274.0,109.0,24.0
27,2010,중구,광희동,1854.0,730.0,415.0,342.0,275.0,71.0,21.0
28,2010,중구,을지로동,767.0,546.0,111.0,52.0,37.0,18.0,3.0
29,2010,중구,신당1동,2872.0,1021.0,690.0,515.0,477.0,130.0,39.0
30,2010,중구,신당2동,5725.0,1391.0,1481.0,1297.0,1093.0,333.0,130.0
31,2010,중구,신당3동,7014.0,1570.0,1849.0,1752.0,1361.0,359.0,123.0
32,2010,중구,신당4동,5559.0,1195.0,1367.0,1263.0,1280.0,354.0,100.0
33,2010,중구,신당5동,2750.0,812.0,657.0,570.0,520.0,139.0,52.0
34,2010,중구,신당6동,2891.0,441.0,603.0,708.0,788.0,257.0,94.0
35,2010,중구,황학동,4661.0,1505.0,1177.0,947.0,755.0,223.0,54.0
36,2010,중구,중림동,4442.0,1310.0,1098.0,889.0,797.0,266.0,82.0
38,2010,용산구,후암동,6606.0,1804.0,1562.0,1413.0,1331.0,367.0,129.0
39,2010,용산구,용산2가동,4722.0,1251.0,1240.0,1078.0,842.0,243.0,68.0
40,2010,용산구,남영동,3738.0,2287.0,652.0,386.0,284.0,97.0,32.0
41,2010,용산구,원효로2동,5271.0,1027.0,1228.0,1279.0,1328.0,317.0,92.0
