,동,기간,category,value
0,합계,2010,1인가구,854606.0
1,사직동,2010,1인가구,1033.0
2,삼청동,2010,1인가구,271.0
3,부암동,2010,1인가구,693.0
4,평창동,2010,1인가구,918.0
5,무악동,2010,1인가구,482.0
6,교남동,2010,1인가구,1032.0
7,가회동,2010,1인가구,507.0
8,종로1.2.3.4가동,2010,1인가구,1873.0
9,종로5·6가동,2010,1인가구,735.0
10,이화동,2010,1인가구,1345.0
11,혜화동,2010,1인가구,1983.0
12,명륜3가동,2010,1인가구,1703.0
13,창신1동,2010,1인가구,982.0
14,창신2동,2010,1인가구,1040.0
15,창신3동,2010,1인가구,425.0
16,숭인1동,2010,1인가구,775.0
17,숭인2동,2010,1인가구,1432.0
18,청운효자동,2010,1인가구,927.0
19,소공동,2010,1인가구,99.0
20,회현동,2010,1인가구,1180.0
21,명동,2010,1인가구,505.0
22,필동,2010,1인가구,446.0
23,장충동,2010,1인가구,1158.0
24,광희동,2010,1인가구,730.0
25,을지로동,2010,1인가구,546.0
26,신당1동,2010,1인가구,1021.0
27,신당2동,2010,1인가구,1391.0
28,신당3동,2010,1인가구,1570.0
29,신당4동,2010,1인가구,1195.0
30,신당5동,2010,1인가구,812.0
31,신당6동,2010,1인가구,441.0
32,황학동,2010,1인가구,1505.0
33,중림동,2010,1인가구,1310.0
34,후암동,2010,1인가구,1804.0
35,용산2가동,2010,1인가구,1251.0
36,남영동,2010,1인가구,2287.0
37,원효로2동,2010,1인가구,1027.0
38,효창동,2010,1인가구,749.0
39,용문동,2010,1인가구,800.0
40,이촌1동,2010,1인가구,1058.0
41,이촌2동,2010,1인가구,617.0
42,이태원1동,2010,1인가구,1097.0
43,이태원2동,2010,1인가구,1239.0
44,서빙고동,2010,1인가구,788.0
45,보광동,2010,1인가구,2327.0
46,청파동,2010,1인가구,3238.0
47,원효로1동,2010,1인가구,1242.0
48,한강로동,2010,1인가구,2935.0
49,한남동,2010,1인가구,3387.0
50,왕십리2동,2010,1인가구,1415.0
51,마장동,2010,1인가구,1789.0
52,사근동,2010,1인가구,3094.0
53,행당1동,2010,1인가구,1786.0
54,행당2동,2010,1인가구,1059.0
55,응봉동,2010,1인가구,829.0
56,금호1가동,2010,1인가구,1036.0
57,금호4가동,2010,1인가구,1033.0
58,성수1가1동,2010,1인가구,1610.0
59,성수1가2동,2010,1인가구,1918.0
60,성수2가1동,2010,1인가구,2030.0
61,성수2가3동,2010,1인가구,1076.0
62,송정동,2010,1인가구,1699.0
63,용답동,2010,1인가구,1857.0
64,왕십리도선동,2010,1인가구,1399.0
65,금호2.3가동,2010,1인가구,1642.0
66,옥수동,2010,1인가구,1769.0
67,화양동,2010,1인가구,6712.0
68,군자동,2010,1인가구,3350.0
69,중곡1동,2010,1인가구,1821.0
70,중곡2동,2010,1인가구,1725.0
71,중곡3동,2010,1인가구,1835.0
72,중곡4동,2010,1인가구,1991.0
73,능동,2010,1인가구,1848.0
74,구의1동,2010,1인가구,3200.0
75,구의2동,2010,1인가구,1796.0
76,구의3동,2010,1인가구,1789.0
77,광장동,2010,1인가구,937.0
78,자양1동,2010,1인가구,2701.0
79,자양2동,2010,1인가구,1906.0
