2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
신림동 (578),역삼동 (604),신림동 (754),신림동 (749),역삼동 (731),역삼동 (661),역삼동 (734),역삼동 (854),역삼동 (834),역삼동 (996),역삼동 (1044),서초동 (563)
역삼동 (563),신림동 (495),역삼동 (623),역삼동 (667),신림동 (710),신림동 (623),신림동 (633),신림동 (733),신림동 (769),삼성동 (816),삼성동 (988),서교동 (533)
봉천동 (500),신사동 (493),봉천동 (568),봉천동 (624),신사동 (645),신사동 (608),봉천동 (502),신사동 (608),화곡동 (641),신림동 (781),신림동 (785),구로동 (464)
신사동 (440),화곡동 (482),신사동 (565),신사동 (575),봉천동 (568),봉천동 (544),화곡동 (496),봉천동 (587),봉천동 (568),봉천동 (659),서초동 (719),상계동 (357)
화곡동 (420),봉천동 (445),화곡동 (494),화곡동 (493),화곡동 (556),화곡동 (441),신사동 (488),화곡동 (534),논현동 (559),논현동 (624),구로동 (703),여의도동 (346)
미아동 (350),논현동 (393),논현동 (475),논현동 (474),논현동 (443),논현동 (421),논현동 (472),논현동 (515),신사동 (555),서초동 (621),신사동 (694),문정동 (321)
논현동 (345),대치동 (309),구로동 (376),천호동 (405),미아동 (414),서초동 (417),서초동 (420),서교동 (507),삼성동 (550),서교동 (591),봉천동 (689),잠실동 (301)
구로동 (340),서초동 (294),미아동 (370),대치동 (376),천호동 (372),대치동 (396),서교동 (364),삼성동 (477),서교동 (520),신사동 (573),서교동 (684),목동 (301)
성내동 (303),구로동 (293),대치동 (355),구로동 (356),삼성동 (368),미아동 (364),구로동 (359),서초동 (462),구로동 (517),구로동 (560),논현동 (659),자양동 (295)
서초동 (297),수유동 (279),천호동 (326),서초동 (355),대치동 (366),구로동 (344),삼성동 (357),대치동 (448),서초동 (512),화곡동 (560),화곡동 (615),가산동 (266)
대치동 (295),삼성동 (279),서초동 (306),삼성동 (354),구로동 (361),천호동 (322),대치동 (342),구로동 (423),대치동 (465),여의도동 (486),문정동 (575),방이동 (252)
천호동 (281),미아동 (272),수유동 (298),성내동 (336),서초동 (352),삼성동 (299),미아동 (310),상계동 (415),미아동 (406),상계동 (456),마곡동 (573),독산동 (250)
수유동 (274),천호동 (269),성내동 (276),미아동 (314),상계동 (301),상계동 (299),천호동 (299),미아동 (355),상계동 (390),대치동 (447),여의도동 (561),상암동 (248)
상계동 (260),상계동 (245),상계동 (265),수유동 (287),수유동 (285),서교동 (296),성내동 (278),천호동 (332),천호동 (363),미아동 (406),상계동 (501),신정동 (245)
삼성동 (248),성내동 (244),삼성동 (264),청담동 (265),성내동 (282),성내동 (293),상계동 (273),목동 (330),목동 (360),목동 (397),미아동 (493),방배동 (243)
목동 (247),신정동 (209),청담동 (228),목동 (254),서교동 (273),수유동 (291),수유동 (270),성내동 (320),성내동 (348),수유동 (379),잠실동 (461),사당동 (230)
신정동 (223),목동 (199),목동 (224),상계동 (251),목동 (268),목동 (253),목동 (263),수유동 (311),여의도동 (331),천호동 (373),대치동 (460),연남동 (212)
면목동 (215),방화동 (190),신정동 (205),서교동 (249),방화동 (256),잠실동 (241),청담동 (244),여의도동 (282),잠실동 (322),잠실동 (369),수유동 (435),중곡동 (212)
방화동 (186),독산동 (188),면목동 (199),길동 (224),청담동 (252),신정동 (235),반포동 (225),반포동 (271),수유동 (316),반포동 (340),목동 (435),양재동 (211)
방배동 (181),서교동 (179),독산동 (197),면목동 (221),신정동 (210),여의도동 (221),여의도동 (224),방배동 (271),면목동 (293),성내동 (332),천호동 (418),신월동 (204)
