area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
신사동,440.0,493.0,565.0,575.0,645.0,608.0,488.0,608.0,555.0,573.0,694.0,0.0
수색동,13.0,18.0,21.0,20.0,21.0,18.0,15.0,26.0,13.0,16.0,11.0,0.0
대조동,73.0,59.0,78.0,88.0,94.0,81.0,76.0,98.0,83.0,123.0,139.0,0.0
갈현동,82.0,80.0,110.0,111.0,98.0,111.0,117.0,145.0,167.0,198.0,210.0,0.0
응암동,97.0,105.0,92.0,145.0,134.0,113.0,115.0,143.0,151.0,206.0,191.0,0.0
녹번동,34.0,32.0,32.0,35.0,41.0,38.0,40.0,44.0,51.0,66.0,88.0,0.0
역촌동,43.0,41.0,50.0,50.0,71.0,67.0,57.0,89.0,97.0,121.0,124.0,0.0
진관동,7.0,15.0,15.0,52.0,41.0,42.0,39.0,57.0,61.0,128.0,136.0,0.0
불광동,49.0,52.0,54.0,82.0,76.0,96.0,78.0,91.0,107.0,122.0,140.0,0.0
구산동,18.0,9.0,18.0,19.0,16.0,21.0,29.0,25.0,42.0,31.0,45.0,0.0
증산동,13.0,19.0,18.0,22.0,24.0,38.0,31.0,36.0,35.0,35.0,29.0,0.0
관훈동,11.0,2.0,7.0,15.0,26.0,15.0,15.0,22.0,27.0,34.0,34.0,0.0
부암동,10.0,11.0,10.0,10.0,10.0,11.0,6.0,18.0,14.0,16.0,11.0,0.0
창신동,37.0,55.0,53.0,48.0,36.0,41.0,47.0,51.0,61.0,74.0,74.0,0.0
명륜4가,16.0,15.0,18.0,19.0,22.0,24.0,27.0,23.0,44.0,50.0,57.0,0.0
계동,4.0,3.0,3.0,7.0,8.0,7.0,15.0,14.0,10.0,14.0,23.0,0.0
삼청동,16.0,9.0,12.0,12.0,12.0,18.0,19.0,27.0,23.0,18.0,19.0,0.0
명륜3가,2.0,7.0,8.0,12.0,10.0,18.0,10.0,10.0,16.0,23.0,29.0,0.0
익선동,1.0,2.0,3.0,2.0,3.0,3.0,6.0,15.0,19.0,40.0,45.0,0.0
종로3가,6.0,5.0,13.0,8.0,6.0,9.0,8.0,8.0,8.0,19.0,18.0,0.0
수송동,15.0,12.0,10.0,7.0,9.0,6.0,16.0,18.0,18.0,27.0,35.0,0.0
명륜2가,21.0,24.0,11.0,18.0,24.0,27.0,29.0,31.0,34.0,39.0,34.0,0.0
관철동,15.0,42.0,28.0,27.0,44.0,41.0,41.0,54.0,93.0,95.0,109.0,0.0
도렴동,6.0,10.0,5.0,6.0,8.0,4.0,7.0,5.0,11.0,8.0,9.0,0.0
숭인동,21.0,40.0,31.0,42.0,36.0,42.0,31.0,42.0,31.0,48.0,55.0,0.0
가회동,2.0,1.0,3.0,4.0,2.0,3.0,3.0,10.0,11.0,5.0,4.0,0.0
관수동,7.0,13.0,11.0,7.0,11.0,11.0,6.0,13.0,15.0,22.0,30.0,0.0
견지동,1.0,4.0,6.0,4.0,4.0,3.0,4.0,3.0,8.0,9.0,4.0,0.0
인사동,7.0,17.0,16.0,13.0,18.0,9.0,17.0,20.0,18.0,22.0,41.0,0.0
통의동,5.0,7.0,6.0,11.0,11.0,29.0,6.0,14.0,14.0,9.0,18.0,0.0
누하동,1.0,2.0,2.0,3.0,3.0,3.0,6.0,8.0,11.0,15.0,24.0,0.0
안국동,3.0,2.0,2.0,6.0,5.0,6.0,5.0,8.0,10.0,11.0,12.0,0.0
재동,3.0,3.0,13.0,4.0,11.0,3.0,11.0,14.0,13.0,6.0,11.0,0.0
평창동,19.0,16.0,11.0,14.0,16.0,12.0,14.0,15.0,21.0,24.0,29.0,0.0
와룡동,4.0,2.0,2.0,4.0,3.0,2.0,4.0,7.0,10.0,4.0,8.0,0.0
낙원동,12.0,8.0,17.0,13.0,16.0,13.0,18.0,37.0,22.0,39.0,41.0,0.0
원서동,2.0,0.0,3.0,0.0,6.0,1.0,2.0,8.0,2.0,2.0,9.0,0.0
명륜1가,1.0,3.0,2.0,6.0,6.0,4.0,5.0,9.0,6.0,9.0,20.0,0.0
신영동,3.0,3.0,9.0,8.0,4.0,5.0,2.0,2.0,8.0,7.0,5.0,0.0
혜화동,9.0,8.0,7.0,9.0,14.0,9.0,17.0,11.0,16.0,19.0,26.0,0.0
