,2012,2013,2014,2015,2016,2017,2018
연남동,654,833,913,1084,1215,1236,1814
익선동,825,1183,null,746,1169,1333,1725
성수동1가,672,665,899,974,953,970,1142
성수동2가,734,695,666,829,855,990,1204
봉천동,818,783,823,824,945,1074,1072
망원동,742,737,711,819,997,1287,1023
신사동,2418,1934,2000,2049,2171,2322,2547
삼청동,744,2036,null,1617,1306,1057,1615
명동1가,6091,null,null,8863,5931,null,null
명동2가,8099,7221,null,4677,13633,12320,19529
상도동,538,751,705,771,829,981,827
상도1동,902,942,977,919,1177,1195,1598
목동,639,798,727,707,793,764,912
신정동,681,586,639,677,746,755,1375
상계동,480,570,544,513,565,661,675
