2007~2008,2008~2009,2009~2010,2010~2011,2011~2012,2012~2013,2013~2014,2014~2015,2015~2016,2016~2017,2017~2018
송월동 (inf),을지로7가 (inf),하중동 (inf),궁정동 (inf),용산동4가 (inf),동작동 (200.0),주자동 (inf),상가동동 (inf),가동 (inf),오쇠동 (inf),동소문동4가 (35.294)
송현동 (inf),신교동 (inf),사간동 (inf),도원동 (inf),자곡동 (300.0),봉래동2가 (125.0),궁정동 (inf),의주로2가 (inf),봉래동2가 (584.211),마곡동 (194.208),연남동 (31.407)
이화동 (inf),용산동6가 (inf),용산동4가 (inf),중학동 (350.0),사간동 (133.333),중학동 (110.0),자곡동 (1100.0),상가동 (inf),상가동동 (200.0),양화동 (180.0),사근동 (30.645)
사직동 (inf),광희동2가 (inf),회현동2가 (325.0),신창동 (200.0),천왕동 (114.286),청암동 (100.0),상왕십리동 (442.857),마곡동 (146.667),장지동 (163.636),저동1가 (135.294),항동 (30.0)
충신동 (inf),행촌동 (inf),진관동 (200.0),수하동 (200.0),용산동1가 (100.0),예지동 (100.0),을지로7가 (433.333),도원동 (133.333),마곡동 (133.333),만리동2가 (133.333),안암동1가 (29.63)
팔판동 (inf),방산동 (inf),을지로5가 (180.0),사간동 (200.0),광희동2가 (100.0),옥인동 (100.0),산천동 (200.0),광희동2가 (128.571),보문동3가 (100.0),을지로7가 (120.0),상암동 (29.245)
통인동 (inf),용산동1가 (inf),화동 (150.0),서빙고동 (200.0),옥인동 (100.0),수표동 (76.923),누상동 (180.0),회현동3가 (125.0),항동 (100.0),염곡동 (116.667),하왕십리동 (29.121)
내자동 (inf),봉래동2가 (500.0),강일동 (116.667),회현동3가 (150.0),누상동 (100.0),장교동 (75.0),가회동 (111.111),주자동 (100.0),창성동 (88.889),권농동 (111.111),양화동 (28.571)
누상동 (inf),원효로4가 (233.333),봉래동1가 (116.667),효자동 (133.333),삼각동 (100.0),운니동 (71.429),용산동1가 (100.0),방산동 (100.0),개화동 (80.0),사간동 (100.0),문래동2가 (28.395)
의주로1가 (inf),누상동 (200.0),인현동2가 (100.0),천왕동 (133.333),당인동 (100.0),예장동 (66.667),익선동 (88.235),궁정동 (100.0),예장동 (80.0),용산동6가 (90.0),양평동2가 (27.928)
남학동 (inf),개화동 (200.0),행촌동 (100.0),쌍림동 (130.0),남학동 (100.0),안암동3가 (66.667),통인동 (81.481),봉원동 (100.0),을지로7가 (75.0),장지동 (81.034),동소문동6가 (27.5)
