,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,신림동 (1669),신림동 (1828),신림동 (2176),신림동 (2454),신림동 (2387),신림동 (2412),역삼동 (2437),역삼동 (2756),역삼동 (2958),역삼동 (3243),역삼동 (3526),서초동 (3841)
1,구로동 (1317),봉천동 (1396),봉천동 (1624),봉천동 (1808),역삼동 (2011),역삼동 (2211),신림동 (2186),신림동 (2410),신림동 (2554),서초동 (2854),서초동 (3278),역삼동 (3526)
2,서초동 (1237),구로동 (1386),역삼동 (1514),역삼동 (1763),봉천동 (1697),신사동 (1857),서초동 (2033),서초동 (2297),서초동 (2528),신림동 (2628),신림동 (2771),구로동 (3232)
3,봉천동 (1235),역삼동 (1298),구로동 (1448),화곡동 (1543),신사동 (1689),서초동 (1819),신사동 (1918),신사동 (2094),신사동 (2197),구로동 (2354),구로동 (2768),서교동 (3000)
4,화곡동 (1192),서초동 (1272),화곡동 (1419),신사동 (1484),서초동 (1619),봉천동 (1770),봉천동 (1673),봉천동 (1866),구로동 (2063),신사동 (2252),서교동 (2467),신림동 (2771)
5,역삼동 (982),화곡동 (1267),서초동 (1351),서초동 (1477),화곡동 (1592),화곡동 (1622),화곡동 (1654),구로동 (1797),봉천동 (2010),봉천동 (2089),신사동 (2367),여의도동 (2579)
6,상계동 (923),신사동 (987),신사동 (1264),구로동 (1327),구로동 (1442),구로동 (1530),구로동 (1588),논현동 (1734),화곡동 (1930),서교동 (2086),화곡동 (2276),상계동 (2560)
7,독산동 (885),상계동 (969),상계동 (1049),논현동 (1190),논현동 (1276),논현동 (1411),논현동 (1556),화곡동 (1700),논현동 (1921),화곡동 (2067),봉천동 (2236),신사동 (2367)
8,목동 (815),독산동 (923),논현동 (1025),상계동 (1118),상계동 (1226),대치동 (1322),대치동 (1385),상계동 (1563),서교동 (1758),논현동 (2029),여의도동 (2233),화곡동 (2276)
9,방배동 (812),목동 (852),독산동 (972),대치동 (1030),대치동 (1154),상계동 (1312),상계동 (1384),대치동 (1525),상계동 (1736),상계동 (1938),상계동 (2203),봉천동 (2236)
10,시흥동 (806),여의도동 (829),목동 (907),독산동 (1022),미아동 (1134),미아동 (1256),미아동 (1293),서교동 (1468),대치동 (1631),여의도동 (1844),논현동 (2164),논현동 (2164)
11,여의도동 (777),시흥동 (825),미아동 (904),목동 (979),삼성동 (1102),삼성동 (1106),여의도동 (1188),미아동 (1405),미아동 (1530),대치동 (1659),방배동 (1754),목동 (2020)
12,미아동 (759),방배동 (803),대치동 (883),미아동 (975),독산동 (1047),독산동 (1083),서교동 (1154),여의도동 (1348),여의도동 (1499),방배동 (1564),미아동 (1720),방배동 (1997)
13,성내동 (757),미아동 (794),여의도동 (827),삼성동 (928),목동 (1037),여의도동 (1066),삼성동 (1150),삼성동 (1275),방배동 (1405),미아동 (1563),목동 (1719),잠실동 (1886)
14,신정동 (752),논현동 (790),시흥동 (815),천호동 (924),천호동 (1017),서교동 (1064),목동 (1147),방배동 (1268),삼성동 (1394),삼성동 (1529),대치동 (1697),미아동 (1720)
15,잠실동 (729),신정동 (771),천호동 (805),여의도동 (918),여의도동 (942),목동 (1043),방배동 (1104),목동 (1254),목동 (1367),목동 (1492),삼성동 (1639),반포동 (1699)
16,신사동 (698),잠실동 (746),신정동 (800),신정동 (863),서교동 (915),수유동 (997),수유동 (1074),수유동 (1202),수유동 (1295),수유동 (1426),잠실동 (1585),양재동 (1697)
17,천호동 (685),수유동 (713),잠실동 (788),성내동 (860),방배동 (914),방배동 (986),천호동 (1028),천호동 (1159),천호동 (1257),잠실동 (1363),수유동 (1541),대치동 (1697)
18,장안동 (665),대치동 (710),수유동 (778),시흥동 (843),성내동 (911),천호동 (970),신정동 (999),독산동 (1097),신정동 (1198),천호동 (1329),반포동 (1527),신정동 (1656)
19,신길동 (630),장안동 (683),방배동 (774),방배동 (834),수유동 (891),신정동 (936),반포동 (982),반포동 (1095),반포동 (1182),양재동 (1324),면목동 (1507),자양동 (1649)
20,수유동 (630),천호동 (666),삼성동 (769),잠실동 (828),신정동 (881),시흥동 (911),독산동 (981),신정동 (1087),양재동 (1163),반포동 (1317),양재동 (1486),삼성동 (1639)
21,반포동 (610),신길동 (661),성내동 (753),수유동 (807),시흥동 (847),반포동 (903),양재동 (945),양재동 (1050),성내동 (1163),신정동 (1298),신정동 (1411),문정동 (1619)
22,창동 (609),반포동 (657),반포동 (711),반포동 (789),반포동 (814),성내동 (884),잠실동 (932),성내동 (1042),잠실동 (1151),면목동 (1251),자양동 (1354),독산동 (1553)
23,가락동 (607),가락동 (647),가락동 (707),서교동 (788),잠실동 (792),양재동 (846),성내동 (921),잠실동 (995),독산동 (1107),성내동 (1212),독산동 (1303),가산동 (1551)
24,양재동 (607),삼성동 (640),서교동 (691),가락동 (744),양재동 (777),잠실동 (820),청담동 (811),면목동 (922),면목동 (1082),자양동 (1211),문정동 (1298),수유동 (1541)
25,신월동 (604),성내동 (636),장안동 (638),양재동 (706),신월동 (714),자양동 (763),시흥동 (800),자양동 (894),자양동 (1056),독산동 (1165),가산동 (1285),면목동 (1507)
26,사당동 (578),서교동 (626),신길동 (626),신길동 (686),청담동 (709),신길동 (753),장안동 (794),장안동 (888),창천동 (961),창천동 (1101),창천동 (1256),사당동 (1479)
