area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
신사동,698.0,987.0,1264.0,1484.0,1689.0,1857.0,1918.0,2094.0,2197.0,2252.0,2367.0,2367.0
수색동,11.0,25.0,40.0,57.0,70.0,84.0,85.0,94.0,94.0,101.0,97.0,97.0
대조동,70.0,105.0,161.0,202.0,242.0,269.0,306.0,368.0,396.0,462.0,525.0,525.0
갈현동,75.0,120.0,190.0,256.0,290.0,350.0,412.0,497.0,573.0,692.0,799.0,799.0
응암동,82.0,162.0,210.0,297.0,374.0,419.0,477.0,559.0,621.0,724.0,791.0,791.0
녹번동,32.0,54.0,73.0,91.0,115.0,133.0,151.0,173.0,194.0,239.0,295.0,295.0
역촌동,42.0,64.0,100.0,117.0,160.0,191.0,210.0,259.0,306.0,381.0,436.0,436.0
진관동,7.0,17.0,23.0,69.0,100.0,125.0,152.0,182.0,211.0,312.0,395.0,395.0
불광동,45.0,81.0,111.0,163.0,213.0,269.0,308.0,347.0,390.0,466.0,533.0,533.0
구산동,17.0,23.0,35.0,47.0,51.0,61.0,76.0,95.0,119.0,135.0,153.0,153.0
증산동,13.0,27.0,37.0,46.0,55.0,80.0,93.0,120.0,146.0,159.0,161.0,161.0
관훈동,11.0,13.0,19.0,34.0,58.0,69.0,79.0,100.0,120.0,149.0,176.0,176.0
부암동,9.0,19.0,26.0,33.0,42.0,48.0,48.0,60.0,68.0,75.0,81.0,81.0
창신동,37.0,79.0,109.0,135.0,152.0,172.0,201.0,239.0,278.0,323.0,382.0,382.0
명륜4가,16.0,26.0,39.0,53.0,70.0,86.0,104.0,124.0,161.0,200.0,246.0,246.0
계동,4.0,7.0,10.0,16.0,22.0,26.0,38.0,51.0,55.0,68.0,82.0,82.0
삼청동,14.0,23.0,33.0,41.0,48.0,55.0,60.0,83.0,102.0,106.0,116.0,116.0
명륜3가,2.0,7.0,12.0,22.0,29.0,45.0,53.0,57.0,67.0,87.0,111.0,111.0
익선동,1.0,3.0,5.0,5.0,8.0,11.0,17.0,32.0,48.0,83.0,125.0,125.0
종로3가,3.0,7.0,15.0,21.0,26.0,32.0,38.0,43.0,46.0,62.0,79.0,79.0
수송동,15.0,27.0,32.0,32.0,38.0,41.0,50.0,64.0,76.0,96.0,128.0,128.0
명륜2가,20.0,34.0,36.0,45.0,62.0,84.0,103.0,118.0,142.0,177.0,204.0,204.0
관철동,15.0,52.0,71.0,85.0,110.0,139.0,164.0,208.0,263.0,338.0,426.0,426.0
도렴동,6.0,13.0,16.0,20.0,23.0,25.0,30.0,32.0,41.0,43.0,49.0,49.0
숭인동,20.0,54.0,76.0,100.0,125.0,155.0,169.0,195.0,209.0,242.0,280.0,280.0
가회동,2.0,3.0,6.0,8.0,6.0,7.0,9.0,19.0,30.0,34.0,36.0,36.0
관수동,7.0,17.0,25.0,30.0,40.0,48.0,47.0,56.0,68.0,84.0,111.0,111.0
견지동,1.0,5.0,10.0,13.0,16.0,17.0,21.0,21.0,27.0,35.0,38.0,38.0
인사동,7.0,23.0,38.0,46.0,62.0,65.0,79.0,97.0,112.0,125.0,162.0,162.0
통의동,5.0,10.0,13.0,21.0,28.0,49.0,52.0,60.0,69.0,78.0,93.0,93.0
누하동,1.0,3.0,5.0,6.0,7.0,10.0,14.0,18.0,27.0,35.0,54.0,54.0
안국동,3.0,5.0,7.0,13.0,16.0,21.0,26.0,31.0,39.0,48.0,56.0,56.0
재동,3.0,5.0,14.0,16.0,26.0,27.0,35.0,45.0,56.0,60.0,69.0,69.0
평창동,17.0,29.0,29.0,34.0,41.0,48.0,58.0,68.0,82.0,97.0,114.0,114.0
와룡동,4.0,4.0,6.0,8.0,9.0,11.0,14.0,19.0,28.0,27.0,35.0,35.0
낙원동,12.0,19.0,34.0,44.0,54.0,65.0,77.0,109.0,128.0,156.0,190.0,190.0
원서동,2.0,2.0,5.0,5.0,11.0,11.0,13.0,21.0,23.0,25.0,29.0,29.0
명륜1가,1.0,4.0,6.0,11.0,15.0,17.0,21.0,29.0,33.0,41.0,57.0,57.0
신영동,3.0,5.0,11.0,17.0,21.0,25.0,22.0,22.0,27.0,30.0,33.0,33.0
혜화동,9.0,16.0,22.0,25.0,36.0,43.0,54.0,60.0,64.0,75.0,90.0,90.0
묘동,9.0,16.0,25.0,30.0,33.0,35.0,38.0,47.0,58.0,72.0,84.0,84.0
구기동,12.0,19.0,24.0,26.0,30.0,39.0,48.0,50.0,59.0,64.0,63.0,63.0
종로5가,14.0,32.0,38.0,53.0,59.0,68.0,84.0,100.0,117.0,133.0,162.0,162.0
