역명,요일,구분,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
가락시장,Friday,하차,717150.0,723021.0,887844.0,933829.0,957651.0,937623.0,960174.0,935579.0,1041381.0,1120152.0,983790.0
가락시장,Monday,하차,724476.0,732550.0,881828.0,885470.0,907959.0,936266.0,947154.0,920500.0,968101.0,1034857.0,1055679.0
가락시장,Saturday,하차,445114.0,425004.0,554888.0,607688.0,603635.0,609464.0,637277.0,610629.0,679639.0,741996.0,671172.0
가락시장,Sunday,하차,301328.0,294400.0,390174.0,418100.0,428507.0,422364.0,438032.0,422121.0,453598.0,519055.0,490254.0
가락시장,Thursday,하차,714892.0,740238.0,882762.0,904308.0,931528.0,915736.0,938114.0,942747.0,1000944.0,1090970.0,994138.5
가락시장,Tuesday,하차,752432.0,726015.0,884697.0,908044.0,905830.0,958358.0,961711.0,933810.0,995399.0,1054639.0,988707.0
가락시장,Wednesday,하차,733807.0,743513.0,861456.0,922489.0,897130.0,921088.0,969386.0,939244.0,993765.0,1066429.0,994963.5
가산디지털단지,Friday,하차,1547224.0,1696781.0,2023905.0,2279242.0,2444934.0,2549793.0,2573655.0,2539429.0,2616873.0,2496008.0,2223256.5
가산디지털단지,Monday,하차,1581373.0,1732379.0,2009397.0,2185139.0,2369650.0,2647237.0,2664954.0,2613736.0,2513793.0,2423578.0,2496702.0
가산디지털단지,Saturday,하차,823368.0,845921.0,881504.0,965292.0,939466.0,1064485.0,1092919.0,1041952.0,1025710.0,929053.0,834207.0
가산디지털단지,Sunday,하차,503071.0,528892.0,540098.0,590692.0,614513.0,727434.0,773581.0,749995.0,730813.0,698918.0,650476.5
가산디지털단지,Thursday,하차,1557212.0,1766080.0,2044034.0,2246361.0,2424398.0,2538290.0,2585721.0,2658548.0,2598881.0,2551255.0,2329522.5
가산디지털단지,Tuesday,하차,1640964.0,1729181.0,2039046.0,2226085.0,2327285.0,2671194.0,2676296.0,2638477.0,2591893.0,2457184.0,2302005.0
가산디지털단지,Wednesday,하차,1615119.0,1775695.0,1988050.0,2281931.0,2295363.0,2551943.0,2689063.0,2658022.0,2563878.0,2497516.0,2320873.5
강남,Friday,하차,6372749.0,6520980.0,6604881.0,6777899.0,6848093.0,6790572.0,6701271.0,6402744.0,6424044.0,6370882.0,5766693.0
강남,Monday,하차,5865171.0,6006923.0,5932277.0,5935333.0,5960758.0,6154176.0,6054884.0,5806137.0,5492534.0,5533273.0,5774593.5
강남,Saturday,하차,4528395.0,4421986.0,4493870.0,4765528.0,4822883.0,5010719.0,5054798.0,4765776.0,4893350.0,4853184.0,4542388.5
강남,Sunday,하차,2752585.0,2707260.0,2691215.0,2804936.0,2932140.0,2998245.0,2895451.0,2733335.0,2748866.0,2825985.0,2780880.0
강남,Thursday,하차,6026802.0,6289238.0,6190699.0,6140676.0,6193336.0,6215776.0,6158069.0,6007690.0,5793217.0,5917751.0,5548978.5
강남,Tuesday,하차,6159434.0,5994438.0,6133222.0,6035481.0,5899929.0,6326829.0,6163270.0,5892522.0,5663446.0,5668494.0,5450371.5
강남,Wednesday,하차,6203968.0,6339971.0,6080024.0,6224071.0,6010313.0,6233015.0,6327023.0,5984867.0,5726314.0,5782366.0,5574456.0
강남구청,Friday,하차,1327445.0,1356526.0,1474569.0,1502986.0,1580357.0,1187920.0,1185844.0,1656075.0,1661448.0,1601143.0,1429638.0
강남구청,Monday,하차,1326341.0,1350776.0,1416123.0,1399428.0,1441437.0,1147459.0,1123552.0,1582612.0,1511208.0,1461096.0,1503049.5
강남구청,Saturday,하차,858393.0,891209.0,955111.0,1013945.0,983018.0,783214.0,827643.0,1132895.0,1098099.0,1055680.0,930763.5
강남구청,Sunday,하차,462584.0,521724.0,568747.0,579548.0,582812.0,474922.0,497866.0,700369.0,601975.0,596276.0,552778.5
강남구청,Thursday,하차,1335440.0,1394617.0,1464252.0,1464083.0,1510661.0,1146754.0,1128002.0,1681508.0,1612630.0,1589255.0,1465678.5
강남구청,Tuesday,하차,1382951.0,1363594.0,1469016.0,1452743.0,1461114.0,1198912.0,1174421.0,1652577.0,1596706.0,1529157.0,1452313.5
강남구청,Wednesday,하차,1372492.0,1404445.0,1429111.0,1473918.0,1441433.0,1147468.0,1182219.0,1678683.0,1598626.0,1568326.0,1472049.0
강동,Friday,하차,792130.0,798489.0,855327.0,916255.0,962555.0,928425.0,937620.0,913033.0,948234.0,946880.0,875647.5
강동,Monday,하차,807846.0,813929.0,853157.0,889847.0,946649.0,945090.0,949950.0,923636.0,912903.0,916183.0,977179.5
