,동이름,2008.4/4,2009.4/4,2010.4/4,2011.4/4,2012.4/4,2013.4/4,2014.4/4,2015.4/4,2016.4/4,2017.4/4
0,사직동,"10,451","10,464","10,668","10,602","10,477","10,327","10,132","10,033","10,013","9,717"
1,삼청동,"3,801","3,717","3,706","3,590","3,485","3,367","3,268","3,174","3,118","3,097"
2,부암동,"11,933","11,602","11,648","11,596","11,478","11,469","11,356","11,217","11,044","10,726"
3,평창동,"19,757","19,780","19,921","19,996","19,816","19,779","19,595","19,414","19,457","19,163"
4,무악동,"8,693","8,714","8,754","8,635","8,598","8,626","8,445","8,619","8,516","8,375"
5,교남동,"9,407","9,145","9,324","9,250","8,342","5,450","5,005","4,875","4,748","10,363"
6,가회동,"6,044","5,948","5,857","5,686","5,520","5,333","5,214","4,961","4,780","4,657"
7,종로1.2.3.4가동,"8,645","8,575","9,155","9,210","8,984","8,797","8,920","8,786","8,727","8,592"
8,종로5·6가동,"6,839","6,618","6,640","6,501","6,438","6,245","6,069","6,057","5,775","5,690"
9,이화동,"10,495","9,984","9,991","9,820","9,521","9,435","9,312","9,216","8,927","8,752"
10,혜화동,"13,087","12,965","12,996","13,006","19,863","19,582","19,631","20,066","20,405","20,429"
11,명륜3가동,"7,434","7,320","7,221","7,271",,,,,,
12,창신1동,"8,570","8,495","8,664","8,386","7,669","7,237","7,097","6,862","6,590","6,285"
13,창신2동,"12,344","12,113","12,365","12,231","11,984","11,707","11,311","11,040","10,701","10,274"
14,창신3동,"8,739","8,683","8,790","8,644","8,502","8,310","8,091","7,933","7,753","7,526"
15,숭인1동,"7,965","8,131","8,216","8,040","7,692","7,563","7,348","7,232","7,109","6,865"
16,숭인2동,"8,880","9,270","9,554","9,531","9,560","9,944","10,078","9,983","10,148","10,140"
17,청운효자동,"16,670","16,019","15,892","15,424","15,219","14,696","14,472","14,354","14,111","13,606"
18,소공동,"1,730","1,572","1,658","1,726","1,764","1,766","1,895","1,869","2,596","2,787"
19,회현동,"5,271","5,210","6,394","6,485","6,581","6,563","6,505","6,263","6,128","5,953"
20,명동,"3,427","3,508","4,140","4,099","4,113","4,013","3,614","3,521","3,524","3,469"
21,필동,"5,084","5,058","5,241","5,234","4,989","4,878","5,040","5,101","5,120","4,885"
22,장충동,"6,281","6,329","6,200","6,084","6,189","6,296","6,079","5,903","5,845","5,648"
23,광희동,"6,023","6,256","6,813","6,662","6,460","6,107","5,961","5,817","6,031","5,875"
24,을지로동,"1,963","2,045","2,123","2,145","2,074","2,022","1,920","1,854","1,826","1,786"
25,신당1동,"10,376","10,417","10,326","10,026","9,325",,,,,
26,신당2동,"17,277","17,243","17,143","17,007","16,749",,,,,
27,신당3동,"20,277","19,873","19,893","19,742","19,638",,,,,
28,신당4동,"16,607","16,578","16,373","16,147","16,020",,,,,
29,신당5동,"8,725","8,360","8,470","9,683","10,693","10,686","10,788","10,449","10,164","9,830"
30,신당6동,"10,305","9,791","9,804","10,281","12,053",,,,,
31,황학동,"12,270","12,691","13,541","13,464","13,090","13,068","13,186","13,287","13,217","13,095"
32,중림동,"13,195","12,930","13,081","12,782","11,069","9,944","9,562","8,979","8,902","11,575"
33,후암동,"20,808","20,509","20,907","20,746","20,413","20,018","19,683","19,684","19,308","18,846"
34,용산2가동,"14,185","14,076","14,340","14,192","13,810","13,546","13,330","13,106","12,746","12,355"
35,남영동,"7,988","8,025","8,442","8,344","8,213","8,442","8,576","8,643","8,762","8,585"
36,원효로2동,"16,491","16,272","16,436","16,040","15,928","15,811","15,671","15,709","15,512","15,233"
37,효창동,"10,835","10,802","11,532","11,536","11,449","11,392","11,276","9,816","9,566","9,594"
38,용문동,"12,846","13,022","13,603","13,479","13,126","13,034","12,994","13,027","12,862","12,759"
39,이촌1동,"28,897","28,914","28,935","28,617","28,405","28,196","28,007","29,002","29,134","28,960"
40,이촌2동,"10,601","10,492","10,665","10,537","10,367","10,054","9,800","9,663","9,380","9,229"
41,이태원1동,"10,358","10,103","10,685","10,382","9,981","9,644","9,470","9,030","8,806","8,791"
42,이태원2동,"11,637","11,493","11,817","11,826","11,878","11,859","11,550","11,154","11,004","11,014"
43,서빙고동,"11,875","11,820","11,927","14,574","14,456","14,221","14,293","14,342","14,507","14,274"
44,보광동,"19,454","19,281","19,336","18,737","18,361","17,961","17,665","17,289","16,988","16,541"
45,청파동,"24,268","24,553","24,895","24,667","23,948","23,428","22,939","22,366","21,913","21,233"
46,원효로1동,"10,538","10,453","11,254","12,814","12,838","13,004","13,547","14,330","14,717","15,266"
47,한강로동,"15,377","16,394","16,929","16,549","16,548","16,277","16,491","16,424","16,463","18,059"
48,한남동,"24,885","24,991","25,440","26,248","25,573","25,038","24,622","24,324","23,434","23,705"
49,왕십리2동,"19,128","19,265","19,161","17,661","17,423","17,129","16,812","16,540","16,917","18,185"
50,마장동,"26,587","26,406","26,341","26,043","25,783","25,487","25,148","25,060","24,569","24,193"
51,사근동,"12,014","11,800","11,629","11,722","11,699","11,745","12,574","12,947","12,722","12,812"
52,행당1동,"18,438","18,333","18,578","18,298","18,129","17,806","15,553","15,129","14,708","14,387"
53,행당2동,"25,406","24,886","26,060","27,084","27,031","26,767","26,399","26,124","25,748","25,423"
54,응봉동,"17,785","17,738","17,670","17,641","17,579","17,370","17,158","17,019","16,921","16,696"
55,금호1가동,"17,706","16,442","16,218","16,255","16,087","14,823","14,117","13,780","13,419","13,191"
56,금호4가동,"15,846","15,564","15,550","15,204","15,016","15,236","15,004","14,771","14,557","14,452"
57,성수1가1동,"19,368","19,011","19,041","18,940","18,588","18,161","17,774","17,557","17,231","17,676"
58,성수1가2동,"19,703","19,289","19,323","19,047","18,906","18,537","18,111","17,486","17,024","16,413"
59,성수2가1동,"21,151","22,303","22,408","22,061","21,430","20,951","20,532","20,080","19,378","18,783"
60,성수2가3동,"12,427","12,396","12,467","12,282","12,440","12,431","12,434","12,251","12,142","12,056"
61,송정동,"12,470","13,000","13,072","12,952","12,721","12,538","12,292","12,063","12,005","11,987"
62,용답동,"18,218","18,121","18,050","17,995","17,551","17,389","17,358","17,207","17,059","16,687"
63,왕십리도선동,"15,790","13,682","13,504","13,202","13,150","12,993","16,081","20,808","22,878","27,582"
64,금호2.3가동,"23,827","22,804","22,954","20,234","23,248","23,517","23,056","22,962","25,038","24,735"
65,옥수동,"26,815","25,024","24,866","22,146","20,081","23,688","23,487","23,281","24,845","27,453"
66,화양동,"23,695","23,576","24,387","24,238","23,990","24,293","24,269","24,419","24,495","24,610"
67,군자동,"22,500","22,538","22,670","22,314","22,227","22,136","22,189","22,091","22,048","21,980"
68,중곡1동,"17,728","17,705","17,795","17,509","17,244","17,021","16,648","16,526","16,342","16,359"
69,중곡2동,"23,061","23,303","23,207","23,190","23,234","23,156","22,633","22,610","22,877","22,808"
70,중곡3동,"20,223","20,040","19,906","19,391","19,106","18,843","18,475","18,120","17,960","17,992"
71,중곡4동,"32,503","32,046","32,347","32,162","32,281","31,966","31,842","32,041","31,786","31,618"
72,능동,"10,978","10,980","11,173","11,328","11,328","11,331","11,470","11,712","11,648","11,838"
73,구의1동,"24,356","24,067","24,150","23,963","23,547","23,226","23,290","23,510","23,387","23,396"
74,구의2동,"26,785","26,847","27,158","27,274","27,744","27,787","26,479","25,879","25,889","25,936"
75,구의3동,"30,122","30,384","30,611","30,410","30,036","29,808","29,997","30,067","29,789","30,483"
76,광장동,"36,464","35,962","35,801","35,652","37,100","37,493","37,159","36,917","36,613","36,589"
77,자양1동,"26,456","26,697","27,484","27,707","26,164","25,374","24,459","24,151","23,951","24,450"
78,자양2동,"29,398","29,632","29,673","29,497","29,114","28,596","28,520","27,877","27,532","27,727"
79,자양3동,"32,199","32,505","32,717","32,443","32,296","31,929","31,436","31,227","30,555","30,517"
80,자양4동,"30,786","30,231","29,696","29,595","28,858","28,480","28,509","28,033","27,232","25,995"
81,신설동,"9,674",,,,,,,,,
82,제기1동,"13,896",,,,,,,,,
